Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
6900.00,2,1.0,0.0,46.0,14.33425,120.854776,150.00,href="https://www.lamudi.com.ph/2-bedroom-house-for-rent-camella-tanza-shuttle-away-from-vista-mall.html"
10000.00,2,1.0,0.0,40.0,14.292781,120.828878,250.00,href="https://www.lamudi.com.ph/2-bedrooms-for-rent-long-term-tenant-only-166713969547.html"
8500.00,2,1.0,0.0,40.0,14.292781,120.828878,212.50,href="https://www.lamudi.com.ph/2-bedrooms-newly-built-townhouse-for-rent-at-phirst-park-homes-calista-mid.html"
10000.00,2,1.0,0.0,40.0,14.292781,120.828878,250.00,href="https://www.lamudi.com.ph/2-bedrooms-townhouse-for-rent-at-phirst-park-homes-168181267027.html"
50000.00,4,3.0,0.0,131.0,14.36282,120.8971,381.68,href="https://www.lamudi.com.ph/2-storey-house-and-lot-for-rent-at-lancaster-new-c-168000882147.html"
10000.00,3,2.0,0.0,50.0,14.3741125,120.8420114,200.00,href="https://www.lamudi.com.ph/2-storey-townhouse-3-bedrooms-for-rent-at-micara-e-167982733037.html"
8500.00,2,1.0,0.0,44.0,14.292781,120.828878,193.18,href="https://www.lamudi.com.ph/2br-townhouse-for-rent-phirst-park-homes-tanza-cavite-currently-available.html"
9000.00,3,1.0,0.0,40.0,14.32696,120.883487,225.00,href="https://www.lamudi.com.ph/3-bedroom-two-storey-house-in-lancaster-new-city-cavite-for-rent.html"
12000.00,3,2.0,0.0,50.0,14.36282,120.8971,240.00,href="https://www.lamudi.com.ph/3-br-2-cr-unfurnished-townhouse-for-rent-at-lancas-167859927738.html"
28000.00,3,2.0,0.0,112.0,14.2881542,120.8628005,250.00,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-at-trece-martires-cavit-167835843527.html"
30000.00,4,3.0,0.0,110.0,14.36282,120.8971,272.73,href="https://www.lamudi.com.ph/aliana-s-townhouse-for-rent-in-lancaster-new-city-168215393540.html"
35000.00,4,3.0,0.0,110.0,14.36282,120.8971,318.18,href="https://www.lamudi.com.ph/aliana-town-house-4-bedroom-for-rent-168172129415.html"
50000.00,3,3.0,0.0,150.0,14.260047,121.0088385,333.33,href="https://www.lamudi.com.ph/cozy-house-in-royale-tagaytay-estates-for-rent-169108430998.html"
18000.00,3,2.0,0.0,132.0,14.321965,120.895878,136.36,href="https://www.lamudi.com.ph/for-lease-2-storey-residential-house-in-villaggio-169069705832.html"
15000.00,3,2.0,0.0,100.0,14.292781,120.828878,150.00,href="https://www.lamudi.com.ph/for-rent-3-bedroom-house-with-car-park-in-a-gated-community.html"
17000.00,3,3.0,0.0,90.0,14.36282,120.8971,188.89,href="https://www.lamudi.com.ph/for-rent-brand-new-single-attached-3-bedrooms-in-l-168450915744.html"
7100.00,2,1.0,0.0,40.0,14.314385,120.900178,177.50,href="https://www.lamudi.com.ph/fully-furnished-2-bedroom-house-for-rent-near-golden-gate-businesspark-gentri.html"
25000.00,3,1.0,0.0,44.0,14.3531132,120.8890686,568.18,href="https://www.lamudi.com.ph/fully-furnished-landed-house-for-rent-in-general-trias-cavite.html"
80000.00,2,3.0,0.0,120.0,14.0892003,120.8527969,666.67,href="https://www.lamudi.com.ph/hammond-place-and-garden-2-bedroom-for-rent-168464635313.html"
4000.00,1,1.0,0.0,36.0,14.3189777,120.8720785,111.11,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-castillon-homes-pasong-kawayan-ii-general-trias.html"
5500.00,1,1.0,0.0,50.0,14.33425,120.854776,110.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-lumina-homes-bagtas-tanz-169069685665.html"
23000.00,4,4.0,0.0,100.0,14.3531132,120.8890686,230.00,href="https://www.lamudi.com.ph/house-for-rent-in-general-trias-cavite-the-gentri-166779875369.html"
18000.00,4,3.0,0.0,100.0,14.3214094,120.907304,180.00,href="https://www.lamudi.com.ph/house-for-rent-lancaster-new-city-cavite.html"
8000.00,2,1.0,0.0,40.0,14.292781,120.828878,200.00,href="https://www.lamudi.com.ph/house-property-for-rent-in-tanauan-tanza-cavite-ph-167893368799.html"
70000.00,4,3.0,0.0,450.0,14.260047,121.0088385,155.56,href="https://www.lamudi.com.ph/modern-industrial-house-with-pool-for-rent-in-a-pr-168831429355.html"
50000.00,4,3.0,0.0,200.0,14.260047,121.0088385,250.00,href="https://www.lamudi.com.ph/newly-renovated-house-for-rent-in-royale-tagaytay-169167801567.html"
55000.00,4,3.0,0.0,110.0,14.36282,120.8971,500.00,href="https://www.lamudi.com.ph/single-attach-unit-for-rent-at-lancaster-cavite-1.html"
35000.00,3,3.0,0.0,110.0,14.36282,120.8971,318.18,href="https://www.lamudi.com.ph/single-attached-fully-interior-designed-house-for-168448759941.html"
6000.00,1,1.0,0.0,44.0,14.296605,120.904361,136.36,href="https://www.lamudi.com.ph/studio-type-house-lot-for-rent-at-governor-hills-biclatan-manggahan.html"
7000.00,3,1.0,0.0,50.0,14.3531132,120.8890686,140.00,href="https://www.lamudi.com.ph/townhouse-for-rent-in-general-trias-cavite.html"
