Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
30000.00,2,2.0,0.0,64.0,14.2857792,121.0393379,468.75,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-at-canyon-ranch-carmo-168011449140.html"
40000.00,2,2.0,0.0,200.0,14.2857792,121.0393379,200.00,href="https://www.lamudi.com.ph/2br-house-for-rent-at-canyon-ranch-carmona-cavite-167522236765.html"
40000.00,2,2.0,0.0,300.0,14.2857792,121.0393379,133.33,href="https://www.lamudi.com.ph/2br-house-for-rent-at-canyon-ranch-subdivision-car-168560980794.html"
20000.00,2,2.0,0.0,64.0,14.310475,121.054663,312.50,href="https://www.lamudi.com.ph/2br-townhouse-for-rent-in-canyon-ranch-cavite-city-168559129487.html"
230000.00,4,4.0,0.0,358.0,14.3197144,121.0428142,642.46,href="https://www.lamudi.com.ph/2storey-with-4br-brand-new-house-for-rent-in-manil-16895870928.html"
15000.00,3,2.0,0.0,72.0,14.2857792,121.0393379,208.33,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-carmona-estates-cavite-168940785043.html"
330000.00,5,5.0,0.0,1200.0,14.3197144,121.0428142,275.00,href="https://www.lamudi.com.ph/3storey-with-5br-brand-new-house-for-rent-in-manil-168931142646.html"
45000.00,4,2.0,0.0,300.0,14.513497,121.6197,150.00,href="https://www.lamudi.com.ph/4br-apartment-for-rent-at-pildera-pasay-166746617139.html"
100000.00,4,3.0,0.0,198.0,14.2984883,121.2806081,505.05,href="https://www.lamudi.com.ph/4br-house-and-lot-for-rent-at-pramana-residential-169180030337.html"
280000.00,4,4.0,0.0,357.0,14.3197144,121.0428142,784.31,href="https://www.lamudi.com.ph/brand-new-house-for-lease-in-manila-southwoods-carmona-cavite.html"
40000.00,4,3.0,0.0,160.0,14.2857792,121.0393379,250.00,href="https://www.lamudi.com.ph/canyon-ranch-community-4-br-for-rent-168558610517.html"
18000.00,2,1.0,0.0,51.0,14.2841434,121.0076045,352.94,href="https://www.lamudi.com.ph/casa-aguila-at-tvr-2-bedroom-for-rent-168301376174.html"
250000.00,2,2.0,0.0,188.0,14.3197144,121.0428142,1329.79,href="https://www.lamudi.com.ph/corner-house-in-manila-southwoods-residential-esta-166850303119.html"
250000.00,2,2.0,0.0,188.0,14.3197144,121.0428142,1329.79,href="https://www.lamudi.com.ph/corner-house-in-manila-southwoods-residential-esta-166857673349.html"
250000.00,2,2.0,0.0,188.0,14.3197144,121.0428142,1329.79,href="https://www.lamudi.com.ph/corner-house-in-manila-southwoods-residential-esta-166857689231.html"
10000.00,2,2.0,0.0,26.0,14.3197144,121.0428142,384.62,href="https://www.lamudi.com.ph/for-rent-of-bedroom-unit-for-2-or-3-at-carmona-est-167564040233.html"
12990.00,3,3.0,0.0,139.0,14.272635,121.443586,93.45,href="https://www.lamudi.com.ph/for-sale-staycation-3-bedroom-villa-with-pool-in-p-169166017444.html"
250000.00,3,3.0,0.0,162.0,14.3197144,121.0428142,1543.21,href="https://www.lamudi.com.ph/fr519-for-rent-brand-new-bungalow-house-in-manila-166263903020.html"
270000.00,4,5.0,0.0,358.0,14.32191671,121.0446877,754.19,href="https://www.lamudi.com.ph/fr520-for-rent-modern-stylish-2-storey-house-in-m-166263554432.html"
12000.00,1,2.0,0.0,40.0,14.27841,121.417241,300.00,href="https://www.lamudi.com.ph/fully-furnished-166701037016.html"
35000.00,3,2.0,0.0,140.0,14.2857792,121.0393379,250.00,href="https://www.lamudi.com.ph/fully-furnished-3-br-house-and-lot-for-rent-at-car-168560884716.html"
300000.00,6,6.0,0.0,800.0,14.3532218,121.431351,375.00,href="https://www.lamudi.com.ph/fully-furnished-6-bedroom-house-for-rent-in-san-pe-168553960846.html"
21000.00,2,1.0,0.0,53.0,14.2984883,121.2806081,396.23,href="https://www.lamudi.com.ph/house-and-lot-2-bedroom-for-rent-in-avida-parkway-setting-nuvali.html"
250000.00,4,4.0,0.0,358.0,14.3197144,121.0428142,698.32,href="https://www.lamudi.com.ph/manila-southwoods-residential-estate-house-for-ren-168673810097.html"
150000.00,5,5.0,0.0,400.0,14.3197144,121.0428142,375.00,href="https://www.lamudi.com.ph/modern-house-for-rent-in-the-manila-southwoods-carmona-cavite.html"
30000.00,2,2.0,0.0,64.0,14.310475,121.054663,468.75,href="https://www.lamudi.com.ph/newly-renovated-canyon-ranch-townhouse-2-bedroom-for-rent-carmona.html"
270000.00,4,4.0,0.0,358.0,14.3197144,121.0428142,754.19,href="https://www.lamudi.com.ph/semi-furnished-4br-house-for-lease-at-southwoods-r-167574175927.html"
15000.00,4,2.0,0.0,88.0,14.2857792,121.0393379,170.45,href="https://www.lamudi.com.ph/spacious-4-bedroom-clubhouse-swimming-pool-minimal-168800410626.html"
40000.00,3,3.0,0.0,131.0,14.2984883,121.2806081,305.34,href="https://www.lamudi.com.ph/valenza-newly-renovated-semi-furnished-nice-locati-168287321228.html"
