Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
12000.00,1,1.0,0.0,54.0,14.32903,120.948295,222.22,href="https://www.lamudi.com.ph/1-bedroom-with-cabinet-townhouse-for-rent-at-cornerstone-executive-home.html"
12000.00,2,1.0,0.0,65.0,14.2814,120.918211,184.62,href="https://www.lamudi.com.ph/2-bedroom-unfurnished-house-in-gen-trias-cavite.html"
16000.00,2,1.0,0.0,80.0,14.2814,120.918211,200.00,href="https://www.lamudi.com.ph/2-br-semi-furnished-house-near-lyceum-university-c-165872233798.html"
20000.00,3,2.0,0.0,92.0,14.282791,120.986405,217.39,href="https://www.lamudi.com.ph/2-storey-house-and-lot-in-paliparan-i-dasmarinas-c-168577706278.html"
40000.00,3,3.0,0.0,150.0,14.282791,120.986405,266.67,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-at-greenwoods-village-das-168525158150.html"
25000.00,3,2.0,0.0,65.0,14.37590628,120.9921589,384.62,href="https://www.lamudi.com.ph/3-bedroom-house-lot-in-camella-homes-cerritos-heig-168542042584.html"
35000.00,3,2.0,0.0,120.0,90.0,120.986405,291.67,href="https://www.lamudi.com.ph/3-bedrooms-house-for-rent-at-greenwoods-subdivision.html"
40000.00,3,3.0,0.0,150.0,14.282791,120.986405,266.67,href="https://www.lamudi.com.ph/3-bedrooms-house-for-rent-in-greenwoods-village-pa-168525101580.html"
20000.00,4,3.0,0.0,146.0,14.282791,120.986405,136.99,href="https://www.lamudi.com.ph/3-bedrooms-with-balcony-in-blk-9-lot-7-calliandra2-phase1-greenwoods-subd.html"
4000.00,1,1.0,0.0,35.0,14.27931,120.943011,114.29,href="https://www.lamudi.com.ph/3-storey-house-for-rent-near-bayan-dasma.html"
70000.00,3,3.0,0.0,140.0,14.3824796,120.9909738,500.00,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-at-verdana-daang-hari-b-168491603059.html"
38000.00,3,2.0,0.0,67.0,14.3830634,120.9677447,567.16,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-in-verra-settings-vermo-168965976395.html"
47000.00,4,3.0,0.0,274.0,14.342521,120.987297,171.53,href="https://www.lamudi.com.ph/4-bedroom-3-bathroom-house-bakery-included-166989007065.html"
35000.00,4,4.0,0.0,100.0,14.3841135,120.9356405,350.00,href="https://www.lamudi.com.ph/4-bedroom-3-floors-duplex-pallas-athena-imus-cavit-169075555931.html"
18000.00,4,2.0,0.0,80.0,14.344825,120.939012,225.00,href="https://www.lamudi.com.ph/4-bedroom-furnished-house-and-lot-for-lease-at-das-168345367090.html"
32500.00,4,2.0,0.0,125.0,14.3830634,120.9677447,260.00,href="https://www.lamudi.com.ph/4-bedroom-house-lot-for-rent-in-southgrove-estates-167237715929.html"
1.00,5,4.0,0.0,200.0,14.3805,120.937451,0.01,href="https://www.lamudi.com.ph/5-bedroom-modern-house-for-rent-in-pallas-athena-executive-subdivision-imus.html"
15000.00,2,1.0,0.0,50.0,14.34264,120.98361,300.00,href="https://www.lamudi.com.ph/avida-residences-sta-catalina-by-ayala-land.html"
11900.00,4,2.0,0.0,86.0,14.3830634,120.9677447,138.37,href="https://www.lamudi.com.ph/avida-vermosa-house-for-rent-168007735497.html"
40000.00,3,3.0,0.0,134.0,14.3830634,120.9677447,298.51,href="https://www.lamudi.com.ph/avida-verra-vermosa-near-ayala-zobel.html"
350000.00,6,6.0,0.0,660.0,14.3280469,121.014819,530.30,href="https://www.lamudi.com.ph/big-house-and-lot-with-swimming-pool-for-rent-at-l-169159644956.html"
40000.00,2,1.0,0.0,67.0,14.309111,120.931183,597.01,href="https://www.lamudi.com.ph/brand-new-2-bedroom-townhouse-in-of-dasmarinas-cavite.html"
15000.00,2,1.0,0.0,52.0,14.304975,120.944111,288.46,href="https://www.lamudi.com.ph/brand-new-house-for-rent-at-idesia-dasmari-as-cavi-168509968282.html"
18000.00,2,1.0,0.0,51.0,14.2841434,121.0076045,352.94,href="https://www.lamudi.com.ph/casa-aguila-at-tvr-2-bedroom-for-rent-168301376174.html"
18000.00,3,2.0,0.0,132.0,14.321965,120.895878,136.36,href="https://www.lamudi.com.ph/for-lease-2-storey-residential-house-in-villaggio-169069705832.html"
50000.00,3,3.0,0.0,118.75,14.3841135,120.9356405,421.05,href="https://www.lamudi.com.ph/for-lease-townhouse-pallas-athena-executive-villag-166355883176.html"
12000.00,2,2.0,0.0,54.0,14.282791,120.986405,222.22,href="https://www.lamudi.com.ph/for-rent-2bedrooms-2-t-b-with-carport-in-dasmarinas-city-near-silang-cavite.html"
12000.00,2,1.0,0.0,50.0,14.28939,120.939552,240.00,href="https://www.lamudi.com.ph/for-rent-2br-townhouse-near-fcie-dasmarinas-cavite.html"
45000.00,3,2.0,0.0,67.0,14.3830634,120.9677447,671.64,href="https://www.lamudi.com.ph/for-rent-3-bedroom-house-and-lot-in-verra-vermosa-16915901375.html"
30000.00,3,2.0,0.0,130.0,14.302195,120.973486,230.77,href="https://www.lamudi.com.ph/for-rent-3br-2tb-h-l-at-washington-place-subd-dasm-169023843750.html"
15000.00,2,1.0,0.0,50.0,14.282791,120.986405,300.00,href="https://www.lamudi.com.ph/for-rent-beautiful-and-airy-duplex-near-dasmarinas-168992815121.html"
15000.00,2,1.0,0.0,50.0,14.342521,120.987297,300.00,href="https://www.lamudi.com.ph/for-rent-house-and-lot-2-bedroom-in-avida-residences-sta-catalina.html"
25000.00,3,2.0,0.0,80.0,14.342521,120.987297,312.50,href="https://www.lamudi.com.ph/for-rent-single-detached-house-at-avida-residences-167894701180.html"
30000.00,3,3.0,0.0,133.0,14.342521,120.987297,225.56,href="https://www.lamudi.com.ph/for-rent-townhouse-orchard-townhomes-dasmari-as-ca-166670774150.html"
7100.00,2,1.0,0.0,40.0,14.314385,120.900178,177.50,href="https://www.lamudi.com.ph/fully-furnished-2-bedroom-house-for-rent-near-golden-gate-businesspark-gentri.html"
40000.00,3,2.0,0.0,100.0,14.3805,120.937451,400.00,href="https://www.lamudi.com.ph/fully-furnished-house-for-rent-in-pallas-athena-ex-168890945959.html"
16500.00,2,1.0,0.0,65.0,14.2814,120.918211,253.85,href="https://www.lamudi.com.ph/governors-hills-suntrust-megaworld-167771357344.html"
15000.00,2,2.0,0.0,58.0,14.282791,120.986405,258.62,href="https://www.lamudi.com.ph/greenwoods-heights-subdivision-dasmarinas-cavite-house-for-rent-fully-furnished.html"
38000.00,3,2.0,0.0,67.0,14.3830634,120.9677447,567.16,href="https://www.lamudi.com.ph/house-and-lot-for-lease-at-avida-verra-settings-ve-168404281650.html"
30000.00,3,3.0,0.0,260.0,14.342521,120.987297,115.38,href="https://www.lamudi.com.ph/house-and-lot-for-rent-449941-21.html"
35000.00,4,2.0,0.0,110.0,14.342521,120.987297,318.18,href="https://www.lamudi.com.ph/house-and-lot-for-rent-at-avida-residences-sta-catalina-village.html"
30000.00,3,2.0,0.0,200.0,14.342521,120.987297,150.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-avida-residences-sta-catalina-vill.html"
264000.00,3,2.0,0.0,65.0,14.27931,120.943011,4061.54,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-dasmarinas-cavite-2.html"
20000.00,3,1.0,0.0,78.0,14.342521,120.987297,256.41,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-sta-catalina-village-salawag-dasmarinas-cavite.html"
25000.00,2,2.0,0.0,200.0,14.342521,120.987297,125.00,href="https://www.lamudi.com.ph/house-for-rent-fully-furnished-avida-sta-catalina-dasmarinas-cavite.html"
30000.00,3,2.0,0.0,125.0,14.3406895,120.9825461,240.00,href="https://www.lamudi.com.ph/house-for-rent-in-sta-catalina-village.html"
15000.00,2,1.0,0.0,60.0,14.304975,120.944111,250.00,href="https://www.lamudi.com.ph/house-for-rent-located-at-idesia-dasmarinas-cavite.html"
18000.00,2,2.0,0.0,92.0,14.282791,120.986405,195.65,href="https://www.lamudi.com.ph/house-for-rent-near-gma-or-sm-dasma-cavite-167828436835.html"
40000.00,6,6.0,0.0,132.0,14.32903,120.948295,303.03,href="https://www.lamudi.com.ph/house-for-rent-or-per-room-for-rent-in-burol-dasmarinas.html"
70000.00,3,3.0,0.0,150.0,14.3824796,120.9909738,466.67,href="https://www.lamudi.com.ph/renovated-semi-furnished-3-br-2-bathroom-house-in-168215558912.html"
40000.00,5,3.0,0.0,85.0,14.3830634,120.9677447,470.59,href="https://www.lamudi.com.ph/ridge-crest-townhouse-5-bedroom-3-toilet-and-bath-with-garage.html"
6000.00,1,1.0,0.0,44.0,14.296605,120.904361,136.36,href="https://www.lamudi.com.ph/studio-type-house-lot-for-rent-at-governor-hills-biclatan-manggahan.html"
