Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
15000.00,3,2.0,0.0,60.0,14.387925,120.893418,250.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-in-lancaster-new-city-cavite-for-rent.html"
20000.00,2,2.0,0.0,56.0,14.4100751,120.9537148,357.14,href="https://www.lamudi.com.ph/2br-house-for-rent-at-marseiles-subdivision-imus-c-167958553567.html"
25000.00,3,2.0,0.0,84.0,14.3981207,120.9777822,297.62,href="https://www.lamudi.com.ph/3-bedroom-corner-lot-house-in-daang-hari-for-rent.html"
20000.00,3,2.0,0.0,88.0,14.43254,120.957929,227.27,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-at-citta-italia-subdivision.html"
50000.00,3,3.0,0.0,110.0,14.40808291,120.9599795,454.55,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-in-citta-italia-bacoor-cavite.html"
17000.00,3,2.0,0.0,80.0,14.4012863,120.8900983,212.50,href="https://www.lamudi.com.ph/3-bedroom-house-lot-facing-morning-sun-antel-grand-executive-village.html"
9500.00,3,2.0,0.0,80.0,14.3908191,120.9098915,118.75,href="https://www.lamudi.com.ph/3-bedroom-townhouse-unit-with-parking-space-and-end-unit.html"
12000.00,3,1.0,0.0,40.0,14.4084872,120.9062254,300.00,href="https://www.lamudi.com.ph/3-bedrooms-1cr-with-gate-and-1-car-garage-house-fo-169019758681.html"
14000.00,3,2.0,0.0,55.0,14.387925,120.893418,254.55,href="https://www.lamudi.com.ph/3-bedrooms-2-bath-great-location-less-traffic-guarded-gate.html"
14000.00,3,2.0,0.0,50.0,14.3908191,120.9098915,280.00,href="https://www.lamudi.com.ph/3-bedrooms-2-bathrooms-and-carport-near-mall-of-asia.html"
6000.00,3,1.0,0.0,40.0,14.387925,120.893418,150.00,href="https://www.lamudi.com.ph/3br-alice-townhouse-with-1-carport-for-rent-in-lan-167845899860.html"
60000.00,3,2.0,0.0,130.0,14.4365251,120.9600764,461.54,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-at-meadowood-executive-16909367239.html"
38000.00,3,2.0,0.0,67.0,14.3830634,120.9677447,567.16,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-in-verra-settings-vermo-168965976395.html"
35000.00,4,4.0,0.0,100.0,14.3841135,120.9356405,350.00,href="https://www.lamudi.com.ph/4-bedroom-3-floors-duplex-pallas-athena-imus-cavit-169075555931.html"
