Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
65000.00,3,3.0,0.0,194.0,14.242122641837,121.05119757472,335.05,href="https://www.lamudi.com.ph/3-bedroom-and-2-bathroom-house-for-rent-in-south-f-168844010472.html"
120000.00,3,5.0,0.0,245.0,14.2363657,121.0384526,489.80,href="https://www.lamudi.com.ph/3-storey-house-for-lease-at-bali-mansion-inchican-169140425242.html"
120000.00,3,5.0,0.0,233.37,14.2363657,121.0384526,514.20,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-at-bali-mansion-santa-r-167305990255.html"
120000.00,4,5.0,0.0,375.0,14.2363657,121.0384526,320.00,href="https://www.lamudi.com.ph/4-bedroom-4br-house-and-lot-for-rent-in-ayala-westgrove-in-silang-cavite.html"
100000.00,4,3.0,0.0,550.0,14.2174433,121.0361144,181.82,href="https://www.lamudi.com.ph/4-bedroom-house-for-rent-in-silang-cavite-168597384418.html"
60000.00,3,0.0,0.0,168.0,14.2363657,121.0384526,357.14,href="https://www.lamudi.com.ph/4-bedroom-house-for-rent-south-forbes-166099691987.html"
850000.00,5,4.0,0.0,1000.0,14.2363657,121.0384526,850.00,href="https://www.lamudi.com.ph/5-br-mansion-house-for-rent-at-south-forbes-168015747845.html"
100000.00,4,3.0,0.0,550.0,14.2363657,121.0384526,181.82,href="https://www.lamudi.com.ph/ayala-westgrove-heights-4-bedroom-house-for-rent-i-168474452085.html"
200000.00,5,6.0,0.0,630.0,14.2363657,121.0384526,317.46,href="https://www.lamudi.com.ph/ayala-westgrove-heights-beautiful-mediterranean-furnished-house-for-rent-silang.html"
200000.00,6,12.0,0.0,1000.0,14.2174433,121.0361144,200.00,href="https://www.lamudi.com.ph/ayala-westgrove-heights-silang-furnished-6-br-hous-168147868164.html"
100000.00,4,4.0,0.0,250.0,14.2363657,121.0384526,400.00,href="https://www.lamudi.com.ph/bali-mansions-south-forbes-4-1br-all-with-own-cr-s-168286799590.html"
30000.00,3,2.0,0.0,65.0,14.14031,120.959807,461.54,href="https://www.lamudi.com.ph/camella-silang-buho-silang-cavite-167687230381.html"
70000.00,3,2.0,0.0,316.0,14.2363657,121.0384526,221.52,href="https://www.lamudi.com.ph/for-rent-3-bedroom-house-and-lot-in-silang-cavite-168597482795.html"
50000.00,4,4.0,0.0,165.0,14.2363657,121.0384526,303.03,href="https://www.lamudi.com.ph/for-rent-house-at-chateux-de-paris-south-forbes-166229854948.html"
100000.00,3,4.0,0.0,300.0,14.2363657,121.0384526,333.33,href="https://www.lamudi.com.ph/for-rent-south-forbes-newly-renovated-with-spaciou-168218652715.html"
22000.00,2,2.0,0.0,50.0,14.214615,120.950415,440.00,href="https://www.lamudi.com.ph/fully-furnished-2-bedrooms-2-bathrooms-near-tagaytay-available-465848-21.html"
120000.00,3,3.0,0.0,204.0,14.24809,120.991013,588.24,href="https://www.lamudi.com.ph/fully-furnished-house-and-lot-for-lease-at-south-f-166192565596.html"
75000.00,3,3.0,0.0,220.0,14.242229395211,121.04887993292,340.91,href="https://www.lamudi.com.ph/furnished-3-bedroom-house-in-south-forbes-villas-n-167684731341.html"
200000.00,4,3.0,0.0,411.0,14.2174433,121.0361144,486.62,href="https://www.lamudi.com.ph/house-and-lot-for-lease-at-ayala-westgrove-heights-169016045173.html"
65000.00,3,2.0,0.0,192.0,14.2363657,121.0384526,338.54,href="https://www.lamudi.com.ph/house-and-lot-for-lease-in-south-forbes-villas-nea-169165586276.html"
100000.00,3,4.0,0.0,264.0,14.2363657,121.0384526,378.79,href="https://www.lamudi.com.ph/house-and-lot-for-rent-at-bali-mansions-inchican-s-168356933712.html"
150000.00,0,0.0,0.0,429.0,14.2363657,121.0384526,349.65,href="https://www.lamudi.com.ph/house-and-lot-for-rent-at-phuket-mansions-south-fo-166424653796.html"
35000.00,3,2.0,0.0,90.0,14.2382734,121.0554223,388.89,href="https://www.lamudi.com.ph/house-for-rent-valenza-crown-asia-infront-nuvali.html"
135000.00,5,5.0,0.0,500.0,14.2174433,121.0361144,270.00,href="https://www.lamudi.com.ph/house-with-a-view-for-rent-in-ayala-westgrove-heig-169140418960.html"
150000.00,3,3.0,0.0,220.0,14.2363657,121.0384526,681.82,href="https://www.lamudi.com.ph/mansions-south-forbes-near-sta-rosa-laguna-nuvali-167499287222.html"
10000.00,2,1.0,0.0,100.0,14.228775,120.975436,100.00,href="https://www.lamudi.com.ph/near-bungad-biluso-for-rent-165924527138.html"
55000.00,2,2.5,0.0,90.0,14.2363657,121.0384526,611.11,href="https://www.lamudi.com.ph/newly-renovated-house-for-lease-in-south-forbes-vi-168347173480.html"
75000.00,4,3.0,0.0,210.0,14.2363657,121.0384526,357.14,href="https://www.lamudi.com.ph/semi-furniture-w-terrace-villas-house-for-rent-in-santa-rosa-laguna.html"
900000.00,5,5.0,0.0,1061.0,14.2363657,121.0384526,848.26,href="https://www.lamudi.com.ph/south-forbes-2-372-sqm-5-bedrooms-900k-for-rent-16790474186.html"
