Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
6900.00,2,1.0,0.0,46.0,14.33425,120.854776,150.00,href="https://www.lamudi.com.ph/2-bedroom-house-for-rent-camella-tanza-shuttle-away-from-vista-mall.html"
15000.00,3,2.0,0.0,60.0,14.387925,120.893418,250.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-in-lancaster-new-city-cavite-for-rent.html"
10000.00,2,1.0,0.0,40.0,14.292781,120.828878,250.00,href="https://www.lamudi.com.ph/2-bedrooms-for-rent-long-term-tenant-only-166713969547.html"
8500.00,2,1.0,0.0,40.0,14.292781,120.828878,212.50,href="https://www.lamudi.com.ph/2-bedrooms-newly-built-townhouse-for-rent-at-phirst-park-homes-calista-mid.html"
10000.00,2,1.0,0.0,40.0,14.292781,120.828878,250.00,href="https://www.lamudi.com.ph/2-bedrooms-townhouse-for-rent-at-phirst-park-homes-168181267027.html"
15000.00,2,1.0,0.0,50.0,14.385165,120.836729,300.00,href="https://www.lamudi.com.ph/2-storey-2-bedroom-1-bath-townhouse-unit-in-tanza-cavite-p15k-only.html"
50000.00,4,3.0,0.0,131.0,14.36282,120.8971,381.68,href="https://www.lamudi.com.ph/2-storey-house-and-lot-for-rent-at-lancaster-new-c-168000882147.html"
10000.00,3,2.0,0.0,50.0,14.3741125,120.8420114,200.00,href="https://www.lamudi.com.ph/2-storey-townhouse-3-bedrooms-for-rent-at-micara-e-167982733037.html"
8500.00,2,1.0,0.0,44.0,14.292781,120.828878,193.18,href="https://www.lamudi.com.ph/2br-townhouse-for-rent-phirst-park-homes-tanza-cavite-currently-available.html"
12000.00,3,2.0,0.0,60.0,14.37318,120.896613,200.00,href="https://www.lamudi.com.ph/3-bedroom-house-lancaster-new-city-1.html"
17000.00,3,2.0,0.0,80.0,14.4012863,120.8900983,212.50,href="https://www.lamudi.com.ph/3-bedroom-house-lot-facing-morning-sun-antel-grand-executive-village.html"
14000.00,3,2.0,0.0,55.0,14.387925,120.893418,254.55,href="https://www.lamudi.com.ph/3-bedrooms-2-bath-great-location-less-traffic-guarded-gate.html"
12000.00,3,2.0,0.0,50.0,14.36282,120.8971,240.00,href="https://www.lamudi.com.ph/3-br-2-cr-unfurnished-townhouse-for-rent-at-lancas-167859927738.html"
6000.00,3,1.0,0.0,40.0,14.387925,120.893418,150.00,href="https://www.lamudi.com.ph/3br-alice-townhouse-with-1-carport-for-rent-in-lan-167845899860.html"
30000.00,4,3.0,0.0,100.0,14.387236103173,120.89464790741,300.00,href="https://www.lamudi.com.ph/4-bedroom-semi-furnished-house-for-rent-negotiable.html"
30000.00,4,2.0,0.0,70.0,14.37318,120.896613,428.57,href="https://www.lamudi.com.ph/4-br-townhouse-for-rent-at-lancaster-brighton-gen-trias-cavite.html"
30000.00,4,3.0,0.0,110.0,14.36282,120.8971,272.73,href="https://www.lamudi.com.ph/aliana-s-townhouse-for-rent-in-lancaster-new-city-168215393540.html"
50000.00,3,3.0,0.0,120.0,14.4012863,120.8900983,416.67,href="https://www.lamudi.com.ph/anstacia-house-by-antel-grand-village.html"
12000.00,2,2.0,0.0,60.0,14.411525,120.852572,200.00,href="https://www.lamudi.com.ph/apartment-for-rent-in-rosario-salinas-cavite-166581931578.html"
7000.00,3,2.0,0.0,50.0,14.387925,120.893418,140.00,href="https://www.lamudi.com.ph/bare-house-for-rent-lancaster-kensington-27-end-lot-3-bedroom-2-bath.html"
24000.00,3,2.0,0.0,80.0,14.410355,120.881337,300.00,href="https://www.lamudi.com.ph/corner-lot-3-br-house-at-antel-grand-village-near-167975776387.html"
15000.00,3,2.0,0.0,100.0,14.292781,120.828878,150.00,href="https://www.lamudi.com.ph/for-rent-3-bedroom-house-with-car-park-in-a-gated-community.html"
20000.00,4,2.0,0.0,80.0,14.37318,120.896613,250.00,href="https://www.lamudi.com.ph/for-rent-4-br-townhouse-at-lancaster-brighton-gen-trias-cavite.html"
25000.00,3,1.0,0.0,44.0,14.3531132,120.8890686,568.18,href="https://www.lamudi.com.ph/fully-furnished-landed-house-for-rent-in-general-trias-cavite.html"
19500.00,3,2.0,0.0,100.0,14.4012863,120.8900983,195.00,href="https://www.lamudi.com.ph/house-and-lot-3-bedroom-2-bathroom-and-garage-in-lavanya-for-rent.html"
50000.00,4,3.0,0.0,250.0,14.37318,120.896613,200.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-at-lancaster-gl1-cavite-cit-16873320974.html"
5500.00,1,1.0,0.0,50.0,14.33425,120.854776,110.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-lumina-homes-bagtas-tanz-169069685665.html"
23000.00,4,4.0,0.0,100.0,14.3531132,120.8890686,230.00,href="https://www.lamudi.com.ph/house-for-rent-in-general-trias-cavite-the-gentri-166779875369.html"
8000.00,2,1.0,0.0,40.0,14.292781,120.828878,200.00,href="https://www.lamudi.com.ph/house-property-for-rent-in-tanauan-tanza-cavite-ph-167893368799.html"
7000.00,3,1.0,0.0,50.0,14.3531132,120.8890686,140.00,href="https://www.lamudi.com.ph/townhouse-for-rent-in-general-trias-cavite.html"
