Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
10000.00,1,1.0,0.0,35.0,10.27178,123.871029,285.71,href="https://www.lamudi.com.ph/1-bedroom-house-and-lot-for-rent-at-sun-rise-subdi-169053639644.html"
18000.00,4,3.0,0.0,111.0,10.33034159357,123.91882479313,162.16,href="https://www.lamudi.com.ph/18k-semi-furnished-townhouse-for-rent-at-sta-lucia-village-kasambagan-mabolo.html"
40000.00,2,2.0,0.0,107.0,10.36171,123.911374,373.83,href="https://www.lamudi.com.ph/2-bedroom-for-rent-at-park-terrace-residences-in-t-166328964668.html"
20000.00,2,3.0,0.0,50.0,10.36171,123.911374,400.00,href="https://www.lamudi.com.ph/2-bedroom-house-for-rent-in-talamban-166014355040.html"
25000.00,2,2.0,0.0,120.0,10.3338536,123.894266,208.33,href="https://www.lamudi.com.ph/2-bedroom-house-for-rent-near-cebu-it-park-169059694265.html"
25000.00,2,2.0,0.0,120.0,10.3338536,123.894266,208.33,href="https://www.lamudi.com.ph/2-bedroom-house-for-rent-near-cebu-it-park-169181893041.html"
20000.00,2,1.0,0.0,58.0,10.358748171081,123.91702638688,344.83,href="https://www.lamudi.com.ph/2-bedroom-newly-constructed-house-in-ml-quezon-avenue-nasipit-talamban-cebu-city.html"
20000.00,2,2.0,0.0,70.0,10.36171,123.911374,285.71,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-cebu.html"
30000.00,2,3.0,0.0,120.0,10.31581,123.918231,250.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-in-mabolo-165928616075.html"
30000.00,2,3.0,0.0,120.0,10.31581,123.918231,250.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-in-mabolo-166014426811.html"
30000.00,2,3.0,0.0,120.0,10.349646,123.87712,250.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-in-mabolo-166072011411.html"
30000.00,2,3.0,0.0,120.0,10.31581,123.918231,250.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-in-mabolo-166304734714.html"
20000.00,2,3.0,0.0,50.0,10.36171,123.911374,400.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-in-talamban-cebu-city.html"
20000.00,2,3.0,0.0,50.0,10.3380996,123.883279,400.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-in-talamban-cebu-1.html"
20000.00,2,3.0,0.0,50.0,10.36171,123.911374,400.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-in-talamban-cebu-165928562979.html"
20000.00,2,3.0,0.0,50.0,10.349646,123.87712,400.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-in-talamban-cebu-166071956234.html"
20000.00,2,3.0,0.0,50.0,10.36171,123.911374,400.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-in-talamban-cebu-166497874353.html"
21400.00,2,1.0,0.0,85.0,10.2877275,123.8795386,251.76,href="https://www.lamudi.com.ph/2-bedroom-unfurnished-townhouse-for-rent-in-mambaling-cebu-city-cebu.html"
70000.00,3,2.0,0.0,250.0,10.345495,123.91229,280.00,href="https://www.lamudi.com.ph/2-storey-expat-house-for-rent-in-banilad-a-s-fortu-165891963426.html"
95000.00,3,3.0,0.0,280.0,10.345495,123.91229,339.29,href="https://www.lamudi.com.ph/2-storey-semi-furnished-3-bedroom-house-lot-for-re-168420141945.html"
30000.00,4,2.0,0.0,120.0,10.3380996,123.883279,250.00,href="https://www.lamudi.com.ph/2-storey-semi-furnished-house-for-rent-in-cebu-city.html"
15000.00,2,2.0,0.0,100.0,10.382705,123.919162,150.00,href="https://www.lamudi.com.ph/2-story-house-villa-leyson-bacayan-cebu-city-for-rent.html"
27000.00,3,2.0,0.0,150.0,10.3080276,123.9017964,180.00,href="https://www.lamudi.com.ph/3-bedroom-2-storey-residential-apartment-office-fo-16637484293.html"
40000.00,3,3.0,0.0,250.0,10.36171,123.911374,160.00,href="https://www.lamudi.com.ph/3-bedroom-duplex-for-rent-in-talamban-168428869451.html"
40000.00,3,3.0,0.0,250.0,10.36171,123.911374,160.00,href="https://www.lamudi.com.ph/3-bedroom-duplex-for-rent-in-talamban-168558739349.html"
40000.00,3,3.0,0.0,250.0,10.36171,123.911374,160.00,href="https://www.lamudi.com.ph/3-bedroom-duplex-for-rent-in-talamban-168722497983.html"
40000.00,3,3.0,0.0,250.0,10.36171,123.911374,160.00,href="https://www.lamudi.com.ph/3-bedroom-duplex-for-rent-in-talamban-168878305440.html"
40000.00,3,3.0,0.0,250.0,10.36171,123.911374,160.00,href="https://www.lamudi.com.ph/3-bedroom-duplex-for-rent-in-talamban-168981966681.html"
65000.00,3,3.0,0.0,148.0,10.382705,123.919162,439.19,href="https://www.lamudi.com.ph/3-bedroom-duplex-house-for-rent-in-pristina-north-168136381310.html"
40000.00,3,3.0,0.0,250.0,10.36171,123.911374,160.00,href="https://www.lamudi.com.ph/3-bedroom-duplex-house-for-rent-in-talamban-168428712667.html"
40000.00,3,3.0,0.0,250.0,10.36171,123.911374,160.00,href="https://www.lamudi.com.ph/3-bedroom-duplex-house-for-rent-in-talamban-168558404741.html"
40000.00,3,3.0,0.0,250.0,10.36171,123.911374,160.00,href="https://www.lamudi.com.ph/3-bedroom-duplex-house-for-rent-in-talamban-169094050162.html"
40000.00,3,3.0,0.0,250.0,10.36171,123.911374,160.00,href="https://www.lamudi.com.ph/3-bedroom-duplex-house-for-rent-in-talamban-cebu-c-168725029628.html"
40000.00,3,3.0,0.0,250.0,10.36171,123.911374,160.00,href="https://www.lamudi.com.ph/3-bedroom-duplex-house-for-rent-in-talamban-cebu-c-168975724690.html"
40000.00,3,3.0,0.0,81.0,10.374399790905,123.91188048982,493.83,href="https://www.lamudi.com.ph/3-bedroom-fully-furnished-house-for-rent-at-pristi-168500821769.html"
65000.00,3,3.0,0.0,148.0,10.382705,123.919162,439.19,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-lease-at-pristina-nort-168422825910.html"
33000.00,3,3.0,0.0,120.0,10.322908896603,123.88273420105,275.00,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-lease-in-guadalupe-ceb-169181874612.html"
85000.00,3,2.0,0.0,130.0,10.31581,123.918231,653.85,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-lease-in-mabolo-cebu-c-169088938619.html"
32000.00,3,2.0,0.0,70.0,10.36171,123.911374,457.14,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-in-talamban-cebu-168812093390.html"
80000.00,3,3.0,0.0,300.0,10.36171,123.911374,266.67,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-with-swimming-pool-for-sale-in-silver-hills-cebu-city.html"
55000.00,3,3.0,0.0,350.0,10.328625,123.916913,157.14,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-at-paradise-village-kasam-168010683786.html"
40000.00,3,3.0,0.0,120.0,10.393965,123.921048,333.33,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-metropolis-subdivision-167957908692.html"
65000.00,3,3.0,0.0,149.0,10.36171,123.911374,436.24,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-pristina-north-residen-168005475123.html"
65000.00,3,3.0,0.0,139.0,10.36171,123.911374,467.63,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-pristina-north-residen-168316332199.html"
65000.00,3,3.0,0.0,149.0,10.36171,123.911374,436.24,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-pristina-north-residen-168446144440.html"
65000.00,3,3.0,0.0,149.0,10.36171,123.911374,436.24,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-pristina-north-residen-168739891568.html"
85000.00,3,3.0,0.0,317.0,10.36171,123.911374,268.14,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-talamban-166555837393.html"
45000.00,3,3.0,0.0,180.0,10.36171,123.911374,250.00,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-talamban-168748681789.html"
45000.00,3,3.0,0.0,180.0,10.36171,123.911374,250.00,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-talamban-168895790611.html"
45000.00,3,3.0,0.0,180.0,10.36171,123.911374,250.00,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-talamban-168990781969.html"
45000.00,3,3.0,0.0,180.0,10.36171,123.911374,250.00,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-talamban-16910317098.html"
30000.00,3,3.0,0.0,200.0,10.3136942,123.8806862,150.00,href="https://www.lamudi.com.ph/3-bedroom-house-in-banawa-cebu-166869440965.html"
60000.00,3,3.0,0.0,250.0,10.345495,123.91229,240.00,href="https://www.lamudi.com.ph/3-bedroom-house-in-banilad-cebu-city-168991532882.html"
90000.00,4,4.0,0.0,280.0,10.28784,123.851721,321.43,href="https://www.lamudi.com.ph/3-bedroom-house-in-high-end-subdivision-in-the-sou-168016519772.html"
