Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
15000.00,3,2.0,0.0,92.0,10.391115,123.950161,163.04,href="https://www.lamudi.com.ph/2-storey-3-bedrooms-2-bathrooms-with-garage-and-se-166063421533.html"
10000.00,2,1.0,0.0,63.0,10.4272204,124.000071,158.73,href="https://www.lamudi.com.ph/2-storey-townhouse-2-bedrooms-1-toilet-bath-for-re-168592684743.html"
15000.00,3,2.0,0.0,92.0,10.3861781,123.9541938,163.04,href="https://www.lamudi.com.ph/3-bedroom-2-bath-townhouse-for-rent-natalia-residences.html"
35000.00,3,2.0,0.0,250.0,10.386645,123.9672248,140.00,href="https://www.lamudi.com.ph/3-bedroom-house-in-a-gated-community-with-mountain-view.html"
80000.00,3,2.0,0.0,312.0,10.3808965,123.9533705,256.41,href="https://www.lamudi.com.ph/3-bedroom-house-with-swimming-pool-for-rent-in-con-168424372482.html"
80000.00,3,2.0,0.0,312.0,10.3808965,123.9533705,256.41,href="https://www.lamudi.com.ph/3-bedroom-house-with-swimming-pool-for-rent-in-con-168545062788.html"
34000.00,4,3.0,0.0,160.0,10.3915618,123.9777954,212.50,href="https://www.lamudi.com.ph/4-bedrooms-house-for-rent-in-eastland-subd-yati-liloan-cebu.html"
60000.00,2,2.0,0.0,150.0,10.5450162,124.0279802,400.00,href="https://www.lamudi.com.ph/aduna-beach-villas-2br-150sqm-house-2-car-lanai-da-168723738033.html"
10000.00,2,1.0,0.0,49.0,10.39969623,123.9814335,204.08,href="https://www.lamudi.com.ph/affordable-house-for-rent-in-liloan.html"
60000.00,2,2.0,0.0,500.0,10.4699447,124.0849731,120.00,href="https://www.lamudi.com.ph/beachfront-house-for-rent-in-compostela-168394209753.html"
60000.00,2,2.0,0.0,450.0,10.4699447,124.0849731,133.33,href="https://www.lamudi.com.ph/beachfront-house-for-rent-in-compostela-168921633438.html"
60000.00,2,2.0,0.0,450.0,10.4699447,124.0849731,133.33,href="https://www.lamudi.com.ph/beachfront-house-for-rent-in-compostela-169034304756.html"
15000.00,3,2.0,0.0,70.0,10.3808965,123.9533705,214.29,href="https://www.lamudi.com.ph/conveniently-located-townhouse-in-consolacion-cebu-for-rent.html"
15000.00,2,1.0,0.0,120.0,10.391115,123.950161,125.00,href="https://www.lamudi.com.ph/for-rent-2br-house-and-lot-aspen-heights-davao-dav-168870735465.html"
60000.00,2,2.0,0.0,450.0,10.4699447,124.0849731,133.33,href="https://www.lamudi.com.ph/fully-furnished-beachfront-house-for-rent-in-compo-168811303745.html"
60000.00,2,2.0,0.0,450.0,10.4715644,124.0135637,133.33,href="https://www.lamudi.com.ph/fully-furnished-beachfront-house-for-rent-in-compo-169148109770.html"
30000.00,3,2.0,0.0,77.0,10.5338047,124.0266076,389.61,href="https://www.lamudi.com.ph/fully-furnished-house-lot-166804665520.html"
60000.00,2,2.0,0.0,450.0,10.4699447,124.0849731,133.33,href="https://www.lamudi.com.ph/furnished-2-bedroom-beachfront-house-for-rent-in-c-168508854580.html"
25000.00,4,2.0,0.0,140.0,10.404515,123.972086,178.57,href="https://www.lamudi.com.ph/furnished-house-for-rent-in-liloan-167251617177.html"
16000.00,2,1.0,0.0,45.0,10.44226,123.994411,355.56,href="https://www.lamudi.com.ph/house-and-lot-for-lease-at-amoa-subdivision-aboiti-168707845077.html"
35000.00,4,4.0,0.0,108.0,10.380828,123.9956609,324.07,href="https://www.lamudi.com.ph/house-for-rent-fully-furnished-liloan-cebu-166325399368.html"
20000.00,3,2.0,0.0,60.0,10.399645,123.959547,333.33,href="https://www.lamudi.com.ph/new-2-storey-house-for-rent-in-consolacion-168129684499.html"
11000.00,2,1.0,0.0,32.0,10.4272204,124.000071,343.75,href="https://www.lamudi.com.ph/semi-furnished-house-lot-in-garden-bloom-villas-co-168923833156.html"
45000.00,3,2.0,0.0,87.0,10.4272204,124.000071,517.24,href="https://www.lamudi.com.ph/single-bungalow-house-and-lot-for-rent-in-cotcot-l-168907032041.html"
30000.00,4,4.0,0.0,130.0,10.3902527,123.9685139,230.77,href="https://www.lamudi.com.ph/single-detached-house-inside-an-exclusive-subdivision-at-molave-highlands.html"
180000.00,5,4.0,0.0,562.5,10.3823871,124.011254,320.00,href="https://www.lamudi.com.ph/spacious-4-bedroom-1-guest-house-mansion-corner-ho-168811110890.html"
120000.00,3,3.0,0.0,400.0,10.3823871,124.011254,300.00,href="https://www.lamudi.com.ph/three-bedroom-villa-for-rent-at-amara-beachfront-l-167431727487.html"
25000.00,3,2.0,0.0,87.0,10.4367842,123.9415518,287.36,href="https://www.lamudi.com.ph/townhouse-for-rent-at-consolacion-cebu.html"
8000.00,3,2.0,0.0,40.0,10.4390441,124.0038778,200.00,href="https://www.lamudi.com.ph/townhouse-for-rent-at-henaville-subdivision-165985490548.html"
