Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
15000.00,2,2.0,0.0,60.0,10.291595,123.964519,250.00,href="https://www.lamudi.com.ph/2-bedroom-house-for-rent-in-cityhomes-subd-basak-lapu-lapu-city.html"
8000.00,2,1.0,0.0,45.0,10.291595,123.964519,177.78,href="https://www.lamudi.com.ph/2-bedroom-house-for-rent-in-tpi-homes-ii-basak-lapu-lapu-city.html"
27000.00,2,2.0,0.0,64.0,10.26232,123.960462,421.88,href="https://www.lamudi.com.ph/2-bedroom-single-detached-house-in-ajoya-subd-gabi-168805570148.html"
20000.00,2,2.0,0.0,60.56,10.2825501,123.9792851,330.25,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-in-bayswater-mactan-c-168952621087.html"
15000.00,2,2.0,0.0,60.0,10.27632,123.976546,250.00,href="https://www.lamudi.com.ph/2-bedrooms-fully-furnished-for-rent-in-lapu-lapu-166674270834.html"
15000.00,3,3.0,0.0,75.0,10.291595,123.964519,200.00,href="https://www.lamudi.com.ph/3-bedrooms-townhouse-for-rent-in-anami-homes-mactan-in-basak-lapu-lapu-city.html"
16000.00,3,2.0,0.0,65.0,10.291595,123.964519,246.15,href="https://www.lamudi.com.ph/3-bedrooms-townhouse-for-rent-in-basak-lapu-lapu-city-cebu.html"
11000.00,2,2.0,0.0,140.0,10.274602254087,123.97287666786,78.57,href="https://www.lamudi.com.ph/3-storey-2-bedroom-house-for-rent-in-marigondon-2-165994529277.html"
27000.00,4,3.0,0.0,80.0,10.26232,123.960462,337.50,href="https://www.lamudi.com.ph/4-bedroom-house-for-rent-in-ajoya-subd-gabi-cordov-169158316025.html"
15000.00,2,1.0,0.0,45.0,10.2836629,123.949863,333.33,href="https://www.lamudi.com.ph/aldea-del-mar-babag-lapu-lapu-city-168912919526.html"
16500.00,2,2.0,0.0,52.0,10.27632,123.976546,317.31,href="https://www.lamudi.com.ph/brand-new-2-bedroom-2-toilet-bath-unfurnished-town-168829571287.html"
15000.00,2,2.0,0.0,69.0,10.26,123.97592,217.39,href="https://www.lamudi.com.ph/brand-new-house-and-lot-for-rent-in-lapu-lapu-city-168776807044.html"
13500.00,2,1.0,0.0,46.0,10.287629,123.971843,293.48,href="https://www.lamudi.com.ph/for-rent-2-bedroom-townhouse-at-mactan-deca-homes-16845668298.html"
38000.00,4,2.0,0.0,300.0,10.26232,123.960462,126.67,href="https://www.lamudi.com.ph/for-rent-house-and-lot-gated-with-big-garden-in-alegria-palms-dos-cordova.html"
13000.00,1,1.0,0.0,29.0,10.26793,123.973581,448.28,href="https://www.lamudi.com.ph/for-rent-p13k-semi-furnished-bungalow-house-1-bedroom-can-park-2-cars-n-futura.html"
30000.00,3,2.0,0.0,66.0,10.27632,123.976546,454.55,href="https://www.lamudi.com.ph/for-rent-p30k-furnished-house-3br-2cr-1-carport-in-168791967912.html"
12000.00,1,1.0,0.0,35.0,10.26793,123.973581,342.86,href="https://www.lamudi.com.ph/for-rent-semi-furnished-house-1-br-1cr-futura-homes-lapu-lapu-city-cebu.html"
20000.00,3,2.0,0.0,70.0,10.27666,123.98011,285.71,href="https://www.lamudi.com.ph/for-rent-semi-furnished-townhouse-in-marigondon-la-168779902517.html"
50000.00,4,3.0,0.0,120.0,10.291595,123.964519,416.67,href="https://www.lamudi.com.ph/for-rent-villas-magallanes-4-bedroom-house-169157534457.html"
27000.00,3,2.0,0.0,80.0,10.26232,123.960462,337.50,href="https://www.lamudi.com.ph/fully-furnished-3-bedroom-house-for-rent-in-ajoya-168215335225.html"
12500.00,2,1.0,0.0,51.0,10.283681868994,123.94209977821,245.10,href="https://www.lamudi.com.ph/fully-furnished-townhouse-for-rent-haniyyah-homes-subdivision-lapulapu-cebu.html"
47000.00,1,1.0,0.0,22.0,10.26793,123.973581,2136.36,href="https://www.lamudi.com.ph/house-1-bedroom-for-rent-in-a-subdivision-in-lapu-lapu.html"
13000.00,2,1.0,0.0,40.0,10.291595,123.964519,325.00,href="https://www.lamudi.com.ph/house-for-rent-2-bedroom-1cr-furnished-house-in-lapu-lapu-city.html"
18000.00,2,2.0,0.0,106.0,10.28867,123.95108,169.81,href="https://www.lamudi.com.ph/house-lot-semi-furnished-for-rent-in-babag-2-lapu-168792618581.html"
15000.00,2,1.0,0.0,40.0,10.291595,123.964519,375.00,href="https://www.lamudi.com.ph/mactan-deca-homes-3-166870052590.html"
15000.00,2,1.0,0.0,40.0,10.291595,123.964519,375.00,href="https://www.lamudi.com.ph/semi-furnished-townhouse-for-lease-in-basak-lapu-l-165947703629.html"
15000.00,1,1.0,0.0,35.0,10.26793,123.973581,428.57,href="https://www.lamudi.com.ph/single-detached-house-for-rent-futura-homes-mactan-167930459320.html"
20000.00,2,2.0,0.0,60.0,10.2811235,123.9331248,333.33,href="https://www.lamudi.com.ph/titled-property-location-inside-bayswater-subdivis-168934616583.html"
15500.00,2,2.0,0.0,81.0,10.2564596,123.958618,191.36,href="https://www.lamudi.com.ph/townhouse-for-rent-in-alegria-cordova-cebu-165838747676.html"
18000.00,2,1.0,0.0,60.0,10.2836629,123.949863,300.00,href="https://www.lamudi.com.ph/villa-del-rio-subdivision-lapu-lapu-city-2-br-hous-168673908018.html"
