Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
8500.00,1,1.0,0.0,32.0,14.2696017,121.152656,265.63,href="https://www.lamudi.com.ph/1-bedroom-studio-type-house-and-lot-in-amaia-cabuyao-laguna-for-rent.html"
18000.00,3,2.0,0.0,55.0,14.322137438268,121.08573475214,327.27,href="https://www.lamudi.com.ph/18k-house-for-rent-in-jubilation-enclave-near-sm-s-167723943944.html"
30000.00,2,3.0,0.0,220.0,14.12405,121.17277,136.36,href="https://www.lamudi.com.ph/2-bedroom-private-house-for-rent.html"
12000.00,2,1.0,0.0,50.0,14.12405,121.17277,240.00,href="https://www.lamudi.com.ph/2-br-townhouse-in-san-antonio-heights-santo-tomas-168914621953.html"
40000.00,3,2.0,0.0,77.0,14.13168,121.142941,519.48,href="https://www.lamudi.com.ph/2-storey-zen-inspired-single-detached-house-for-le-168706802136.html"
55000.00,2,2.0,0.0,135.0,14.30577412,121.0834486,407.41,href="https://www.lamudi.com.ph/2br-townhouse-for-rent-at-brentville-international-community.html"
45000.00,2,2.0,0.0,80.0,14.576725,121.195159,562.50,href="https://www.lamudi.com.ph/2br-townhouse-for-rent-at-l-sumulong-antipolo-city-168386091226.html"
35000.00,3,3.0,0.0,90.0,14.2915,121.116843,388.89,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-at-villa-caceres-santa-rosa-laguna.html"
60000.00,3,2.0,0.0,159.0,14.12696,121.152525,377.36,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-in-sto-tomas-166195101339.html"
150000.00,3,3.0,0.0,250.0,14.2703263,121.0539924,600.00,href="https://www.lamudi.com.ph/3-bedrooms-house-and-lot-for-rent-at-brentville-in-16813087883.html"
40000.00,3,3.0,0.0,210.0,14.5964,121.19369,190.48,href="https://www.lamudi.com.ph/3-br-house-for-rent-near-la-salle-school-church-ma-168776118763.html"
52000.00,3,2.0,0.0,86.0,14.571435,121.176937,604.65,href="https://www.lamudi.com.ph/3br-house-for-rent-in-mille-luce-subd-brgy-san-roq-169078252931.html"
25000.00,4,2.0,0.0,92.0,14.3435045,121.0713046,271.74,href="https://www.lamudi.com.ph/4-bedroom-house-in-binan-laguna-167696364667.html"
39000.00,4,3.0,0.0,100.0,14.556935,121.193542,390.00,href="https://www.lamudi.com.ph/5-bedrooms-corner-landed-house-for-rent-in-camella-16836026274.html"
190000.00,5,4.0,0.0,218.0,14.3336384,121.0555577,871.56,href="https://www.lamudi.com.ph/5br-house-and-lot-for-lease-at-las-villas-de-manil-167991490240.html"
100000.00,5,4.0,0.0,200.0,14.3336384,121.0555577,500.00,href="https://www.lamudi.com.ph/5br-house-and-lot-for-rent-at-las-villas-de-manila-167109100137.html"
130000.00,5,4.0,0.0,230.0,14.670622,121.240436,565.22,href="https://www.lamudi.com.ph/5br-house-for-rent-at-kingsville-royale-sun-valley-169051537137.html"
18000.00,2,1.0,0.0,80.0,14.2703263,121.0539924,225.00,href="https://www.lamudi.com.ph/affordable-house-for-rent-at-san-jose-village-3-bi-168146904532.html"
