Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
30000.00,2,3.0,0.0,220.0,14.12405,121.17277,136.36,href="https://www.lamudi.com.ph/2-bedroom-private-house-for-rent.html"
12000.00,2,1.0,0.0,50.0,14.12405,121.17277,240.00,href="https://www.lamudi.com.ph/2-br-townhouse-in-san-antonio-heights-santo-tomas-168914621953.html"
40000.00,3,2.0,0.0,77.0,14.13168,121.142941,519.48,href="https://www.lamudi.com.ph/2-storey-zen-inspired-single-detached-house-for-le-168706802136.html"
60000.00,3,2.0,0.0,159.0,14.12696,121.152525,377.36,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-in-sto-tomas-166195101339.html"
30000.00,3,2.0,0.0,69.0,14.21265,121.162217,434.78,href="https://www.lamudi.com.ph/3-br-bare-unit-2-toilet-and-bath-166246951657.html"
32000.00,4,5.0,0.0,450.0,14.172961,121.258757,71.11,href="https://www.lamudi.com.ph/3-storey-house-4-bedroom-for-rent-in-maharlika-village.html"
30000.00,4,2.0,0.0,100.0,14.0977341,121.1507462,300.00,href="https://www.lamudi.com.ph/available-may-2023-4br-2ba-carport-two-storey-hous-167778481962.html"
150000.00,3,3.0,0.0,450.0,14.1951957,121.2197257,333.33,href="https://www.lamudi.com.ph/beautiful-and-spacious-country-living-in-nuvali-laguna-1.html"
35000.00,3,1.0,0.0,120.0,14.12405,121.17277,291.67,href="https://www.lamudi.com.ph/beautiful-fully-furnished-home-with-mountain-view-166092033579.html"
11000.00,2,1.0,0.0,46.0,14.103076,121.128935,239.13,href="https://www.lamudi.com.ph/brand-new-2br-townhouse-for-rent-in-pagaspas-tanau-168106243321.html"
10000.00,3,1.0,0.0,67.2,14.0808605,121.1845545,148.81,href="https://www.lamudi.com.ph/brand-new-townhouse-for-rent-santo-tomas-batangas.html"
30000.00,3,3.0,0.0,110.0,14.13168,121.142941,272.73,href="https://www.lamudi.com.ph/complete-finish-3-bedrooms-3-toilet-bath-for-rent.html"
8000.00,2,1.0,0.0,44.0,14.1902536,121.1719465,181.82,href="https://www.lamudi.com.ph/for-rent-2-storey-townhouse-in-montana-heights-subdivision-calamba-city-laguna.html"
65000.00,3,3.0,0.0,240.0,14.12696,121.152525,270.83,href="https://www.lamudi.com.ph/for-rent-3-bedroom-house-near-sm-mall-in-sto-tomas-168939829296.html"
25000.00,5,0.0,0.0,750.0,14.1951957,121.2197257,33.33,href="https://www.lamudi.com.ph/for-rent-5-bedroom-sydneys-hotspring-resort-in-calamba-laguna.html"
750000.00,30,0.0,0.0,600.0,14.178416,121.1840111,1250.00,href="https://www.lamudi.com.ph/for-rent-5br-prince-art-resort-in-solemar-del-pansol-village-calamba-laguna.html"
7000.00,1,1.0,0.0,25.0,14.195385,121.129069,280.00,href="https://www.lamudi.com.ph/for-rent-studio-type-townhouse-at-amaia-scapes-bar-168585638188.html"
14000.00,2,1.0,0.0,40.0,14.157145,121.13831,350.00,href="https://www.lamudi.com.ph/full-house-with-2-bedroom-in-calamba-park-place-la-168671248234.html"
13000.00,2,1.0,0.0,53.0,14.176345,121.122173,245.28,href="https://www.lamudi.com.ph/fully-furnished-2-bedroom-bungalow-duplex-for-rent-168102627117.html"
7500.00,2,2.0,0.0,45.0,14.224555,121.142276,166.67,href="https://www.lamudi.com.ph/house-2-bedroom-for-rent-newly-renovated-16901630636.html"
40000.00,4,3.0,0.0,120.0,14.13168,121.142941,333.33,href="https://www.lamudi.com.ph/house-for-rent-at-pueblo-de-oro-santo-tomas-batangas-541088-21.html"
50000.00,4,3.0,0.0,120.0,14.13168,121.142941,416.67,href="https://www.lamudi.com.ph/house-for-rent-at-pueblo-de-oro-santo-tomas-batangas.html"
6500.00,2,1.0,0.0,45.0,14.13168,121.142941,144.44,href="https://www.lamudi.com.ph/newly-renovated-completed-townhouse-for-rent-in-sa-168105443532.html"
12000.00,9,9.0,0.0,700.0,14.178416,121.1840111,17.14,href="https://www.lamudi.com.ph/private-pools-resort-in-pansol-calamba-very-nice-r-166201649069.html"
39000.00,1,1.5,0.0,100.0,14.12405,121.17277,390.00,href="https://www.lamudi.com.ph/spacious-1-bedroom-house-with-garden-in-san-antonio-heights-avida.html"
15000.00,2,1.0,0.0,50.0,14.157145,121.13831,300.00,href="https://www.lamudi.com.ph/tiffany-village-townhouse-for-rent-in-calamba-city-laguna.html"
10000.00,3,2.0,0.0,70.0,14.176345,121.122173,142.86,href="https://www.lamudi.com.ph/townhouse-for-rent-at-calamba-laguna-in-suntrust-sentosa.html"
12000.00,2,1.0,0.0,50.0,14.12405,121.17277,240.00,href="https://www.lamudi.com.ph/townhouse-in-avida-santo-tomas-batangas-for-rent-168310224655.html"
40000.00,3,3.0,0.0,131.0,14.2086539,121.146668,305.34,href="https://www.lamudi.com.ph/two-storey-house-for-rent-3bd-3tb-maids-room-w-attic-in-calamba-laguna.html"
