Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
45000.00,2,2.0,0.0,80.0,14.6204,121.19317,562.50,href="https://www.lamudi.com.ph/2-bedroom-duplex-house-type-for-lease-at-dalig-ant-169010734686.html"
45000.00,2,2.0,0.0,80.0,14.576725,121.195159,562.50,href="https://www.lamudi.com.ph/2br-townhouse-for-rent-at-l-sumulong-antipolo-city-168386091226.html"
70000.00,3,4.0,0.0,368.0,14.60035293,121.1820923,190.22,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-at-cottonwood-hei-166908106741.html"
95000.00,3,3.0,0.0,214.0,14.6036614,121.2861642,443.93,href="https://www.lamudi.com.ph/3-bedroom-townhouse-for-rent-at-dover-hill-san-jua-168813204868.html"
24000.00,3,2.0,0.0,66.0,14.469725,121.204419,363.64,href="https://www.lamudi.com.ph/3-bedrooms-2-toilet-and-bath-inside-eastridge-esta-16833578607.html"
40000.00,3,3.0,0.0,210.0,14.5964,121.19369,190.48,href="https://www.lamudi.com.ph/3-br-house-for-rent-near-la-salle-school-church-ma-168776118763.html"
52000.00,3,2.0,0.0,86.0,14.571435,121.176937,604.65,href="https://www.lamudi.com.ph/3br-house-for-rent-in-mille-luce-subd-brgy-san-roq-169078252931.html"
110000.00,3,4.0,0.0,106.0,14.6036614,121.2861642,1037.74,href="https://www.lamudi.com.ph/3br-townhouse-for-rent-in-dover-hill-san-juan-rr20-168368500855.html"
85000.00,4,4.0,0.0,450.0,14.58843,121.157573,188.89,href="https://www.lamudi.com.ph/4-bedroom-house-for-rent-in-francisville-antipolo-168570010267.html"
50000.00,4,5.0,0.0,500.0,14.644339,121.171092,100.00,href="https://www.lamudi.com.ph/4br-crestview-antipolo-big-house-for-rent-167896009346.html"
39000.00,4,3.0,0.0,100.0,14.556935,121.193542,390.00,href="https://www.lamudi.com.ph/5-bedrooms-corner-landed-house-for-rent-in-camella-16836026274.html"
130000.00,5,4.0,0.0,230.0,14.670622,121.240436,565.22,href="https://www.lamudi.com.ph/5br-house-for-rent-at-kingsville-royale-sun-valley-169051537137.html"
80000.00,3,3.0,0.0,212.0,14.575845,121.167958,377.36,href="https://www.lamudi.com.ph/a-stunning-brand-new-house-with-pool-and-city-view-168532158588.html"
56000.00,4,3.0,0.0,196.0,14.573461,121.148117,285.71,href="https://www.lamudi.com.ph/brand-new-house-in-manor-ridge-highlands-pointe-ha-168838207931.html"
55000.00,3,3.0,0.0,350.0,14.594745,121.182157,157.14,href="https://www.lamudi.com.ph/for-rent-3-bedroom-house-in-cottonwoods-heights-antipolo-rizal.html"
100000.00,3,3.0,0.0,500.0,14.595379985224,121.14657207604,200.00,href="https://www.lamudi.com.ph/for-rent-house-and-lot-in-barrington-place-valley-168948626152.html"
115000.00,7,3.0,0.0,500.0,14.6036614,121.2861642,230.00,href="https://www.lamudi.com.ph/for-rent-house-and-lot-residential-commercial-in-s-168000151665.html"
40000.00,4,5.0,0.0,300.0,14.5841,121.17485,133.33,href="https://www.lamudi.com.ph/for-rent-town-and-country-4-bedroom-house-marcos-h-166298698088.html"
30000.00,3,3.0,0.0,200.0,14.547696,121.155285,150.00,href="https://www.lamudi.com.ph/fully-furnished-3-bedroom-house-and-lot-for-rent-i-168335621296.html"
120000.00,5,6.0,0.0,600.0,14.6036614,121.2861642,200.00,href="https://www.lamudi.com.ph/fully-furnished-5-bedroom-house-and-lot-for-rent-a-168732803936.html"
150000.00,3,3.0,0.0,350.0,14.6036614,121.2861642,428.57,href="https://www.lamudi.com.ph/house-and-lot-for-lease-in-san-juan-167576022272.html"
90000.00,10,5.0,0.0,200.0,14.576725,121.195159,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-antipolo-city-167229211138.html"
90000.00,10,5.0,0.0,200.0,14.6179598,121.1976151,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-antipolo-city-ideal-for-166839128940.html"
90000.00,10,5.0,0.0,200.0,14.6179598,121.1976151,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-antipolo-city-ideal-for-167418706041.html"
20000.00,3,2.0,0.0,90.0,14.479565,121.191008,222.22,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-santorini-estates-calumpang-binangonan-rizal.html"
90000.00,10,5.0,0.0,200.0,14.573461,121.148117,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-taytay-along-ortigas-ext-167357975642.html"
30000.00,5,3.0,0.0,208.0,14.59242,121.186609,144.23,href="https://www.lamudi.com.ph/house-for-rent-in-cottonwoods-heights-subdivision-168891607172.html"
15000.00,3,2.0,0.0,246.0,14.67235,121.316465,60.98,href="https://www.lamudi.com.ph/house-for-rent-in-san-pablo-city-laguna-166659734975.html"
45000.00,3,3.0,0.0,170.0,14.608936,121.22529,264.71,href="https://www.lamudi.com.ph/pn51890-house-lot-for-rent-hot-san-juan.html"
50000.00,4,5.0,0.0,190.0,14.6179598,121.1976151,263.16,href="https://www.lamudi.com.ph/rush-for-rent-4-br-townhouse-in-antipolo-city-very-168854648380.html"
