Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
8500.00,1,1.0,0.0,32.0,14.2696017,121.152656,265.63,href="https://www.lamudi.com.ph/1-bedroom-studio-type-house-and-lot-in-amaia-cabuyao-laguna-for-rent.html"
30000.00,2,3.0,0.0,220.0,14.12405,121.17277,136.36,href="https://www.lamudi.com.ph/2-bedroom-private-house-for-rent.html"
12000.00,2,1.0,0.0,50.0,14.12405,121.17277,240.00,href="https://www.lamudi.com.ph/2-br-townhouse-in-san-antonio-heights-santo-tomas-168914621953.html"
35000.00,3,3.0,0.0,90.0,14.2915,121.116843,388.89,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-at-villa-caceres-santa-rosa-laguna.html"
24000.00,3,2.0,0.0,66.0,14.469725,121.204419,363.64,href="https://www.lamudi.com.ph/3-bedrooms-2-toilet-and-bath-inside-eastridge-esta-16833578607.html"
30000.00,3,2.0,0.0,69.0,14.21265,121.162217,434.78,href="https://www.lamudi.com.ph/3-br-bare-unit-2-toilet-and-bath-166246951657.html"
32000.00,4,5.0,0.0,450.0,14.172961,121.258757,71.11,href="https://www.lamudi.com.ph/3-storey-house-4-bedroom-for-rent-in-maharlika-village.html"
100000.00,4,3.0,0.0,198.0,14.2984883,121.2806081,505.05,href="https://www.lamudi.com.ph/4br-house-and-lot-for-rent-at-pramana-residential-169180030337.html"
150000.00,3,3.0,0.0,450.0,14.1951957,121.2197257,333.33,href="https://www.lamudi.com.ph/beautiful-and-spacious-country-living-in-nuvali-laguna-1.html"
35000.00,3,1.0,0.0,120.0,14.12405,121.17277,291.67,href="https://www.lamudi.com.ph/beautiful-fully-furnished-home-with-mountain-view-166092033579.html"
8000.00,1,1.0,0.0,34.0,14.2696017,121.152656,235.29,href="https://www.lamudi.com.ph/bungalow-pod-single-detached-in-amaia-scapes-cabuy-16848627838.html"
8000.00,2,1.0,0.0,44.0,14.1902536,121.1719465,181.82,href="https://www.lamudi.com.ph/for-rent-2-storey-townhouse-in-montana-heights-subdivision-calamba-city-laguna.html"
25000.00,5,0.0,0.0,750.0,14.1951957,121.2197257,33.33,href="https://www.lamudi.com.ph/for-rent-5-bedroom-sydneys-hotspring-resort-in-calamba-laguna.html"
750000.00,30,0.0,0.0,600.0,14.178416,121.1840111,1250.00,href="https://www.lamudi.com.ph/for-rent-5br-prince-art-resort-in-solemar-del-pansol-village-calamba-laguna.html"
7000.00,1,1.0,0.0,25.0,14.195385,121.129069,280.00,href="https://www.lamudi.com.ph/for-rent-studio-type-townhouse-at-amaia-scapes-bar-168585638188.html"
12990.00,3,3.0,0.0,139.0,14.272635,121.443586,93.45,href="https://www.lamudi.com.ph/for-sale-staycation-3-bedroom-villa-with-pool-in-p-169166017444.html"
14000.00,2,1.0,0.0,40.0,14.157145,121.13831,350.00,href="https://www.lamudi.com.ph/full-house-with-2-bedroom-in-calamba-park-place-la-168671248234.html"
12000.00,1,2.0,0.0,40.0,14.27841,121.417241,300.00,href="https://www.lamudi.com.ph/fully-furnished-166701037016.html"
300000.00,6,6.0,0.0,800.0,14.3532218,121.431351,375.00,href="https://www.lamudi.com.ph/fully-furnished-6-bedroom-house-for-rent-in-san-pe-168553960846.html"
7500.00,2,2.0,0.0,45.0,14.224555,121.142276,166.67,href="https://www.lamudi.com.ph/house-2-bedroom-for-rent-newly-renovated-16901630636.html"
21000.00,2,1.0,0.0,53.0,14.2984883,121.2806081,396.23,href="https://www.lamudi.com.ph/house-and-lot-2-bedroom-for-rent-in-avida-parkway-setting-nuvali.html"
17000.00,2,2.0,0.0,84.0,14.23905,121.1254,202.38,href="https://www.lamudi.com.ph/la-fortezza-house-for-rent-2-bedroom-block-2-lot-15-san-isidro.html"
12000.00,9,9.0,0.0,700.0,14.178416,121.1840111,17.14,href="https://www.lamudi.com.ph/private-pools-resort-in-pansol-calamba-very-nice-r-166201649069.html"
39000.00,1,1.5,0.0,100.0,14.12405,121.17277,390.00,href="https://www.lamudi.com.ph/spacious-1-bedroom-house-with-garden-in-san-antonio-heights-avida.html"
15000.00,2,1.0,0.0,50.0,14.157145,121.13831,300.00,href="https://www.lamudi.com.ph/tiffany-village-townhouse-for-rent-in-calamba-city-laguna.html"
12000.00,2,1.0,0.0,50.0,14.12405,121.17277,240.00,href="https://www.lamudi.com.ph/townhouse-in-avida-santo-tomas-batangas-for-rent-168310224655.html"
40000.00,3,3.0,0.0,131.0,14.2086539,121.146668,305.34,href="https://www.lamudi.com.ph/two-storey-house-for-rent-3bd-3tb-maids-room-w-attic-in-calamba-laguna.html"
40000.00,3,3.0,0.0,131.0,14.2984883,121.2806081,305.34,href="https://www.lamudi.com.ph/valenza-newly-renovated-semi-furnished-nice-locati-168287321228.html"
