Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
30000.00,2,3.0,0.0,220.0,14.12405,121.17277,136.36,href="https://www.lamudi.com.ph/2-bedroom-private-house-for-rent.html"
8000.00,2,1.0,0.0,56.0,14.3127655,121.0964134,142.86,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-opposite-to-sm-santa-165925173078.html"
12000.00,2,1.0,0.0,50.0,14.12405,121.17277,240.00,href="https://www.lamudi.com.ph/2-br-townhouse-in-san-antonio-heights-santo-tomas-168914621953.html"
13000.00,2,1.0,0.0,57.2,14.2778589,121.0830123,227.27,href="https://www.lamudi.com.ph/2-storey-house-for-rent-berkeley-heights-subdivision-santa-rosa-laguna.html"
25000.00,2,2.0,0.0,54.0,14.294425,121.10166,462.96,href="https://www.lamudi.com.ph/2br-townhouse-for-rent-at-the-bellecourt-santa-ros-168900399521.html"
35000.00,3,3.0,0.0,90.0,14.2915,121.116843,388.89,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-at-villa-caceres-santa-rosa-laguna.html"
29500.00,3,2.0,0.0,165.0,14.2615584,121.0735873,178.79,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-in-don-jose-santa-rosa-laguna.html"
65000.00,3,3.0,0.0,240.0,14.2615584,121.0735873,270.83,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-at-santarosa-village-1-st-168805571580.html"
65000.00,3,3.0,0.0,210.0,14.2615584,121.0735873,309.52,href="https://www.lamudi.com.ph/3-bedroom-house-near-nuvali-for-rent-in-don-jose-s-168898581923.html"
70000.00,3,2.0,0.0,180.0,14.2444071,121.0661417,388.89,href="https://www.lamudi.com.ph/3-bedrooms-house-and-lot-for-rent-with-garden-at-s-168915460890.html"
33500.00,3,2.0,0.0,71.6,14.31573,121.11023,467.88,href="https://www.lamudi.com.ph/3br-duplex-house-for-lease-at-crown-asia-valenza-s-166555806131.html"
50000.00,3,4.0,0.0,160.0,14.2444071,121.0661417,312.50,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-at-la-residencia-sta-ro-168716239145.html"
65000.00,3,2.0,0.0,166.0,14.2444071,121.0661417,391.57,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-at-valenza-crownasia-su-167211206715.html"
30000.00,3,2.0,0.0,300.0,14.2444071,121.0661417,100.00,href="https://www.lamudi.com.ph/3br-house-for-rent-in-sta-rosa-laguna-169094675955.html"
80000.00,4,4.0,0.0,350.0,14.2444071,121.0661417,228.57,href="https://www.lamudi.com.ph/4-bedroom-house-for-rent-in-santa-rosa-166856907372.html"
55000.00,4,4.0,0.0,240.0,14.2615584,121.0735873,229.17,href="https://www.lamudi.com.ph/4-bedroom-house-for-rent-in-sta-rosa-laguna-168805419688.html"
135000.00,4,5.0,0.0,258.0,14.2615584,121.0735873,523.26,href="https://www.lamudi.com.ph/4-bedrooms-fully-furnished-house-for-rent-at-santa-168356523694.html"
100000.00,4,3.0,0.0,198.0,14.2984883,121.2806081,505.05,href="https://www.lamudi.com.ph/4br-house-and-lot-for-rent-at-pramana-residential-169180030337.html"
