Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
85000.00,4,5.0,0.0,4350.0,14.405874,121.022321,19.54,href="https://www.lamudi.com.ph/fully-furnished-cute-small-house-for-rent-in-ayala-16814577366.html"
200000.00,5,4.0,0.0,3000.0,14.582943,121.072573,66.67,href="https://www.lamudi.com.ph/6br-house-for-rent-in-valle-verde-pasig-city-16848331092.html"
40000.00,5,4.0,0.0,500.0,14.569208,121.060157,80.00,href="https://www.lamudi.com.ph/for-lease-spacious-house-and-lot-kapitolyo-pasig-city-1.html"
100000.00,5,4.0,0.0,1200.0,14.665648,121.082236,83.33,href="https://www.lamudi.com.ph/5br-house-and-lot-for-rent-at-capitol-homes-subdiv-167893370889.html"
72000.00,3,3.0,0.0,750.0,14.491803,121.038006,96.00,href="https://www.lamudi.com.ph/newly-refurbished-167654791125.html"
10000.00,2,1.0,0.0,100.0,14.446596,120.987165,100.00,href="https://www.lamudi.com.ph/townhouse-for-rent-in-las-pinas-city-in-talon-uno-las-pinas.html"
80000.00,6,7.0,0.0,780.0,14.4521766,121.0245799,102.56,href="https://www.lamudi.com.ph/for-rent-780sqm-with-6-bedrooms-house-and-lot-at-bf-northwest-in-paranaque-city.html"
180000.00,4,5.0,0.0,1700.0,14.405874,121.022321,105.88,href="https://www.lamudi.com.ph/house-lot-for-rent-or-lease-in-ayala-alabang-village-muntinlupa-city.html"
80000.00,8,8.0,0.0,750.0,14.4521766,121.0245799,106.67,href="https://www.lamudi.com.ph/fully-furnished-8-bedroom-house-and-lot-w-garden-for-rent-in-bf-homes-paranaque.html"
40000.00,5,3.0,0.0,360.0,14.647586,121.094395,111.11,href="https://www.lamudi.com.ph/360sq-house-for-lease-5br-3-baths-16675371422.html"
90000.00,4,4.0,0.0,800.0,14.6060344,121.0711795,112.50,href="https://www.lamudi.com.ph/4-bedrooms-house-lot-for-rent-in-white-plains-quezon-city.html"
300000.00,5,5.0,0.0,2645.0,14.539577,121.024909,113.42,href="https://www.lamudi.com.ph/5br-house-and-lot-for-rent-at-dasmari-as-village-m-168968570970.html"
40000.00,5,3.0,0.0,350.0,14.627401,121.021325,114.29,href="https://www.lamudi.com.ph/2storey-with-5br-old-house-for-rent-in-barangay-ro-16887119881.html"
70000.00,0,0.0,0.0,600.0,14.613347,121.072922,116.67,href="https://www.lamudi.com.ph/house-for-lease-in-st-ignatius-village-quezon-city-168422685773.html"
120000.00,5,5.0,0.0,1000.0,14.665648,121.082236,120.00,href="https://www.lamudi.com.ph/5-bedroom-house-for-rent-in-alpha-village-quezon-c-169158017564.html"
50000.00,4,4.0,0.0,405.0,14.612889,121.097996,123.46,href="https://www.lamudi.com.ph/big-house-and-lot-in-greenpark-subdivision-pasig-c-168958844839.html"
150000.00,8,8.0,0.0,1200.0,14.492371,121.008496,125.00,href="https://www.lamudi.com.ph/8-bedrooms-house-in-multinational-village-paranaqu-169064542933.html"
320000.00,5,5.0,0.0,2500.0,14.5464981,121.0347377,128.00,href="https://www.lamudi.com.ph/stylish-5-bedroom-house-and-lot-for-rent-in-forbes-park-makati-city-609176-21.html"
100000.00,4,5.0,0.0,780.0,14.682138,121.059136,128.21,href="https://www.lamudi.com.ph/mira-nila-3-storey-house-100k-per-month-only-167048495888.html"
220000.00,4,4.0,0.0,1713.0,14.405874,121.022321,128.43,href="https://www.lamudi.com.ph/ayala-alabang-village-aav-220k-per-month-only-166831677195.html"
45000.00,4,4.0,0.0,350.0,14.4023926,121.0078767,128.57,href="https://www.lamudi.com.ph/bungalow-house-for-rent-in-bf-homes-almanza-las-pinas-city.html"
390000.00,8,8.0,0.0,2970.0,14.5464981,121.0347377,131.31,href="https://www.lamudi.com.ph/enormous-8-bedroom-house-and-lot-for-rent-in-forbes-park-makati-city-609145-21.html"
12000.00,2,1.0,0.0,90.0,14.448666,120.973539,133.33,href="https://www.lamudi.com.ph/bungalow-house-lot-proven-non-flood-area.html"
35000.00,3,2.0,0.0,260.0,14.499387,121.025633,134.62,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-merville-paranaque-cit-167704641066.html"
370000.00,6,6.0,0.0,2740.0,14.5464981,121.0347377,135.04,href="https://www.lamudi.com.ph/classic-6-bedroom-house-and-lot-for-rent-in-forbes-park-makati-city-609164-21.html"
220000.00,8,8.0,0.0,1600.0,14.6060344,121.0711795,137.50,href="https://www.lamudi.com.ph/for-rent-8-bedroom-house-and-lot-in-white-plains-q-168903771481.html"
