Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
120000.00,2,2.0,0.0,258.0,14.4023926,121.0078767,465.12,href="https://www.lamudi.com.ph/2-bedroom-house-for-rent-at-bf-almanza-las-pi-as-c-16793165603.html"
18000.00,2,1.0,0.0,60.0,14.422561,120.996723,300.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-in-lot-2-d-san-diego-street.html"
20000.00,2,2.0,0.0,122.0,14.452485,121.0999037,163.93,href="https://www.lamudi.com.ph/2-bedroom-with-built-in-cabinets-townhouse-for-ren-165924961046.html"
18000.00,2,2.0,0.0,60.0,14.4023926,121.0078767,300.00,href="https://www.lamudi.com.ph/2-bedrooms-townhouse-unit-for-rent-in-ts-cruz-almanza-dos-las-pinas.html"
30000.00,3,2.0,0.0,65.0,14.438526,120.985214,461.54,href="https://www.lamudi.com.ph/2-storey-single-attached-residential-house-bare-3-168664696448.html"
90000.00,3,3.0,0.0,211.0,14.4023926,121.0078767,426.54,href="https://www.lamudi.com.ph/2-storey-with-3br-house-for-rent-at-portofino-sala-169026599144.html"
37000.00,2,2.0,0.0,80.0,14.438526,120.985214,462.50,href="https://www.lamudi.com.ph/2br-house-and-lot-for-rent-at-bf-resort-village-la-168855560096.html"
32000.00,2,2.0,0.0,75.0,14.4675605,120.9957576,426.67,href="https://www.lamudi.com.ph/2br-house-and-lot-for-rent-in-ashberry-estates-las-168429248411.html"
20000.00,2,2.0,0.0,72.0,14.457726,120.970077,277.78,href="https://www.lamudi.com.ph/2br-house-and-lot-for-rent-in-pamplona-park-subdiv-169146685563.html"
40000.00,2,2.0,0.0,120.0,14.446596,120.987165,333.33,href="https://www.lamudi.com.ph/2br-newly-renovated-townhouse-for-rent-at-bf-resor-168564301716.html"
65000.00,2,2.0,0.0,251.0,14.438526,120.985214,258.96,href="https://www.lamudi.com.ph/2br-residential-unit-for-rent-at-tropical-avenue-b-168777799080.html"
30000.00,3,2.0,0.0,65.0,14.446596,120.987165,461.54,href="https://www.lamudi.com.ph/2storey-single-attached-residential-house-for-rent-168690307297.html"
65000.00,3,3.0,0.0,280.0,14.4508188,121.0061146,232.14,href="https://www.lamudi.com.ph/3-bedroom-bungalow-house-for-rent-in-barangay-bf-international-las-pinas-city.html"
35000.00,3,3.0,0.0,100.0,14.4023926,121.0078767,350.00,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-in-camella-homes-169081209645.html"
55000.00,3,2.0,0.0,140.0,14.4508188,121.0061146,392.86,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-b-f-international-vill-168052537060.html"
80000.00,3,4.0,0.0,200.0,14.4521766,121.0245799,400.00,href="https://www.lamudi.com.ph/3-bedroom-house-for-rent-in-bf-homes-paranaque-city-2.html"
40000.00,3,0.0,0.0,120.0,14.4508188,121.0061146,333.33,href="https://www.lamudi.com.ph/3-bedroom-townhouse-for-rent-at-las-pi-as-city-met-168122022573.html"
90000.00,3,3.0,0.0,211.0,14.4023926,121.0078767,426.54,href="https://www.lamudi.com.ph/3-bedrooms-2-storey-house-for-rent-in-amore-at-por-16901956571.html"
28000.00,3,2.0,0.0,115.0,14.4324914,121.0140532,243.48,href="https://www.lamudi.com.ph/3-bedrooms-for-rent-near-at-sm-southmall-las-pinas-168437000497.html"
20000.00,3,3.0,0.0,130.0,14.417168,121.0080137,153.85,href="https://www.lamudi.com.ph/3-bedrooms-house-for-rent-at-pilar-village-las-pi-168432206827.html"
200000.00,5,5.0,0.0,450.0,14.4023926,121.0078767,444.44,href="https://www.lamudi.com.ph/3-storey-house-for-lease-rent-at-portofino-heights-16824270753.html"
80000.00,3,4.0,0.0,200.0,14.4521766,121.0245799,400.00,href="https://www.lamudi.com.ph/3-storey-house-for-rent-in-bf-homes-paranaque-1.html"
200000.00,4,7.0,0.0,450.0,14.4023926,121.0078767,444.44,href="https://www.lamudi.com.ph/3-storey-house-for-rent-in-portofino-heights-las-p-166383723555.html"
85000.00,3,2.0,0.0,280.0,14.446596,120.987165,303.57,href="https://www.lamudi.com.ph/3br-bungalow-house-for-rent-at-bf-homes-las-pi-as-167383293573.html"
60000.00,3,2.0,0.0,200.0,14.4023926,121.0078767,300.00,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-in-bf-resort-las-pinas-168603258361.html"
50000.00,3,2.0,0.0,250.0,14.4508188,121.0061146,200.00,href="https://www.lamudi.com.ph/3br-house-for-rent-in-bf-homes-las-pi-as-city-168266536784.html"
