Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
45000.00,2,2.0,0.0,240.0,14.571338,121.04641,187.50,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-at-mandaluyong-city-m-168381326523.html"
120000.00,4,4.0,0.0,500.0,14.581224,121.053604,240.00,href="https://www.lamudi.com.ph/2-storey-house-and-lot-for-rent-in-mandaluyong.html"
35000.00,2,2.0,0.0,102.0,14.5939458,121.0389312,343.14,href="https://www.lamudi.com.ph/2br-brandnew-townhouse-for-rent-at-san-juan-city-168552258483.html"
69000.00,3,2.0,0.0,310.0,14.576774,121.033201,222.58,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-at-plainview-mand-168502978230.html"
130000.00,3,3.0,0.0,213.3,14.5939458,121.0389312,609.47,href="https://www.lamudi.com.ph/3-bedroom-townhouse-at-san-juan-for-rent-16837824567.html"
120000.00,3,3.0,0.0,220.0,14.5939458,121.0389312,545.45,href="https://www.lamudi.com.ph/3-bedroom-townhouse-for-rent-at-dover-hill-san-jua-169147532245.html"
40000.00,3,3.0,0.0,80.0,14.581496,121.025625,500.00,href="https://www.lamudi.com.ph/3-br-townhouse-for-rent-in-mandaluyong-city-metro-168266854347.html"
107000.00,3,4.5,0.0,213.3,14.5939458,121.0389312,501.64,href="https://www.lamudi.com.ph/3-storey-townhouse-with-basement-3-bedroom-with-3-16863297341.html"
130000.00,3,3.0,0.0,213.3,14.5939458,121.0389312,609.47,href="https://www.lamudi.com.ph/3br-at-dover-hill-townhouse-san-juan-fronting-pool-for-lease.html"
110000.00,3,3.0,0.0,220.6,14.5939458,121.0389312,498.64,href="https://www.lamudi.com.ph/3br-townhouse-for-lease-in-san-juan-city-metro-man-167296600063.html"
35000.00,3,3.0,0.0,150.0,14.59383,121.038526,233.33,href="https://www.lamudi.com.ph/3br-townhouse-for-rent-at-addition-hills-mandaluyo-168938829830.html"
95000.00,4,3.0,0.0,290.0,14.5939458,121.0389312,327.59,href="https://www.lamudi.com.ph/4-bedroom-corner-unit-w-garden-townhouse-unit-at-dover-hill-in-san-juan.html"
80000.00,4,3.0,0.0,60.0,14.578255,121.052143,1333.33,href="https://www.lamudi.com.ph/4-bedroom-townhouse-for-rent-at-cordillera-mandalu-168848605312.html"
185000.00,4,5.0,0.0,253.79,14.576774,121.033201,728.95,href="https://www.lamudi.com.ph/4-bedrooms-2-car-garage-highend-townhouse-in-manda-16752315450.html"
80000.00,4,3.0,0.0,60.0,14.574886,121.04426,1333.33,href="https://www.lamudi.com.ph/4-bedrooms-townhouse-for-rent-in-mandaluyong-city-168857029243.html"
160000.00,4,4.0,0.0,400.0,14.592173,121.053333,400.00,href="https://www.lamudi.com.ph/4br-townhouse-for-rent-at-wack-wack-mandaluyong-ci-168906250298.html"
160000.00,4,5.0,0.0,400.0,14.592173,121.053333,400.00,href="https://www.lamudi.com.ph/4br-townhouse-for-rent-in-wack-wack-gardenville-ma-169094392110.html"
134000.00,4,3.0,0.0,290.0,14.5939458,121.0389312,462.07,href="https://www.lamudi.com.ph/4br-unit-for-rent-sale-in-dover-hill-in-san-juan-167703808079.html"
155000.00,4,4.0,0.0,268.2,14.5939458,121.0389312,577.93,href="https://www.lamudi.com.ph/4storey-with-4br-townhouse-for-rent-at-san-juan-ci-169059782930.html"
75000.00,5,4.0,0.0,95.0,14.588237,121.041393,789.47,href="https://www.lamudi.com.ph/5-bedroom-townhouse-for-rent-in-pleasant-hills-man-168181823364.html"
300000.00,7,8.0,0.0,1100.0,14.592173,121.053333,272.73,href="https://www.lamudi.com.ph/7-bedroom-house-for-lease-at-greenhills-east-manda-168484698549.html"
300000.00,7,8.0,0.0,1100.0,14.592173,121.053333,272.73,href="https://www.lamudi.com.ph/7br-greenhills-east-300k-per-month-only-167043299636.html"
165000.00,9,2.0,0.0,500.0,14.5820678,121.0363943,330.00,href="https://www.lamudi.com.ph/9-bedroom-house-and-lot-for-rent-at-mandaluyong-ci-168778516653.html"
106500.00,3,3.0,0.0,236.5,14.5939458,121.0389312,450.32,href="https://www.lamudi.com.ph/ceana-place-townhouse-san-juan-three-bedroom-townh-168813564346.html"
120000.00,4,3.0,0.0,290.0,14.5939458,121.0389312,413.79,href="https://www.lamudi.com.ph/for-lease-3-storey-townhouse-dover-hill-townhouse-167886829469.html"
120000.00,4,3.0,0.0,290.0,14.5939458,121.0389312,413.79,href="https://www.lamudi.com.ph/for-lease-3-storey-townhouse-dover-hill-townhouse-167886933192.html"
300000.00,7,8.0,0.0,1100.0,14.592173,121.053333,272.73,href="https://www.lamudi.com.ph/for-lease-7-bedrooms-house-inside-greenhills-east-167598454037.html"
120000.00,4,4.0,0.0,220.0,14.59383,121.038526,545.45,href="https://www.lamudi.com.ph/for-lease-addition-hills-townhouse.html"
125000.00,3,3.0,0.0,213.3,14.59382267,121.0408693,586.03,href="https://www.lamudi.com.ph/for-lease-doverhill-san-juan-3-bedroom-house.html"
