Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
300000.00,10,10.0,0.0,1000.0,14.492371,121.008496,300.00,href="https://www.lamudi.com.ph/10-bedrooms-house-in-multinational-village-paranaq-169064506774.html"
195000.00,5,5.0,0.0,490.0,14.5034535,121.0274593,397.96,href="https://www.lamudi.com.ph/19-new-york-st-merville-park-subdivision-paranaque-house-for-rent-1.html"
25000.00,2,2.0,0.0,35.0,14.492371,121.008496,714.29,href="https://www.lamudi.com.ph/2-bedroom-for-rent-in-multinational-village-para-a-168230757448.html"
75000.00,2,2.0,0.0,150.0,14.492371,121.008496,500.00,href="https://www.lamudi.com.ph/2-bedroom-house-and-lot-for-rent-in-multinational-166997469078.html"
20000.00,2,2.0,0.0,100.0,14.4521766,121.0245799,200.00,href="https://www.lamudi.com.ph/2-bedroom-townhouse-unit-for-rent-near-comml-area-on-a-subdivision-in-paranaque.html"
25000.00,2,1.0,0.0,117.0,14.491803,121.038006,213.68,href="https://www.lamudi.com.ph/2-bedrooms-plus-study-room-at-parkview-homes-paran-167405162191.html"
15000.00,2,1.0,0.0,80.0,14.482705,121.024909,187.50,href="https://www.lamudi.com.ph/2-bedrooms-townhouse-for-rent-in-better-living-par-168353288561.html"
65000.00,4,3.0,0.0,300.0,14.4521766,121.0245799,216.67,href="https://www.lamudi.com.ph/2-storey-4-bedroom-house-with-pool-for-lease-in-bf-169158821367.html"
50000.00,3,3.0,0.0,160.0,14.499387,121.025633,312.50,href="https://www.lamudi.com.ph/2-storey-gated-townhouse-bare-3-bedroom-with-2-car-168664621949.html"
150000.00,5,6.0,0.0,450.0,14.4521766,121.0245799,333.33,href="https://www.lamudi.com.ph/2-storey-house-and-lot-for-lease-in-bf-homes-para-166062070574.html"
45000.00,3,3.0,0.0,250.0,14.467199,121.024909,180.00,href="https://www.lamudi.com.ph/2-storey-house-and-lot-semi-furnished-3-bedroom-wi-168534794038.html"
70000.00,4,3.0,0.0,200.0,14.4521766,121.0245799,350.00,href="https://www.lamudi.com.ph/2-storey-house-and-lot-with-4-bedroom-for-rent-in-166380907674.html"
65000.00,4,0.0,0.0,330.0,14.4521766,121.0245799,196.97,href="https://www.lamudi.com.ph/2-storey-house-for-rent-w-swimming-pool-near-sm-bf-169122349159.html"
65000.00,4,3.0,0.0,260.0,14.482705,121.024909,250.00,href="https://www.lamudi.com.ph/2-storey-house-lot-in-better-living-for-rent.html"
100000.00,4,4.0,0.0,230.0,14.499387,121.025633,434.78,href="https://www.lamudi.com.ph/2-storey-modern-house-for-rent-in-merville-para-aq-169036132322.html"
60000.00,4,3.0,0.0,200.0,14.4521766,121.0245799,300.00,href="https://www.lamudi.com.ph/2-storey-modern-style-for-rent-in-house-4-bedroom-in-bf-homes-paranaque.html"
75000.00,3,3.0,0.0,300.0,14.4521766,121.0245799,250.00,href="https://www.lamudi.com.ph/2-storey-semi-furnished-modern-house-lot-for-rent-in-bf-homes-paranaque-city.html"
75000.00,4,4.0,0.0,360.0,14.4521766,121.0245799,208.33,href="https://www.lamudi.com.ph/2-storey-spacious-house-and-lot-with-garden-for-re-167469986816.html"
26000.00,3,2.0,0.0,110.0,14.499387,121.025633,236.36,href="https://www.lamudi.com.ph/2-storey-townhouse-3-bedrooms-for-rent-in-merville-16910503400.html"
30000.00,3,2.0,0.0,130.0,14.499387,121.025633,230.77,href="https://www.lamudi.com.ph/2-storey-townhouse-w-attic-for-rent-in-merville-pa-169036049932.html"
70000.00,6,4.0,0.0,350.0,14.4521766,121.0245799,200.00,href="https://www.lamudi.com.ph/2-sty-6br-in-bf-homes-paranaque-city-169033598162.html"
40000.00,2,3.0,0.0,130.0,14.492371,121.008496,307.69,href="https://www.lamudi.com.ph/2br-house-and-lot-for-rent-in-multinational-villag-169104076193.html"
16000.00,2,1.0,0.0,50.0,14.4521766,121.0245799,320.00,href="https://www.lamudi.com.ph/2br-townhouse-for-lease-in-bf-homes-para-aque-city-166519252269.html"
