Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
30000.00,2,3.0,0.0,90.0,14.601887,121.093698,333.33,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-at-somerset-place-pas-168788215948.html"
70000.00,3,3.0,0.0,190.0,14.6011932,121.0468908,368.42,href="https://www.lamudi.com.ph/2-storey-3-bedroom-townhouse-at-greenhills-san-jua-168733223345.html"
75000.00,3,3.0,0.0,190.0,14.6011932,121.0468908,394.74,href="https://www.lamudi.com.ph/2-storey-3-bedroom-townhouse-for-rent-at-greenhill-168155485959.html"
200000.00,4,4.0,0.0,400.0,14.6011932,121.0468908,500.00,href="https://www.lamudi.com.ph/2-storey-furnished-house-in-greenhills-san-juan-for-rent.html"
80000.00,4,4.0,0.0,250.0,14.5982881,121.0342285,320.00,href="https://www.lamudi.com.ph/2-storey-townhouse-4-bedroom-townhouse-with-2-car-168733265071.html"
93000.00,3,3.5,0.0,270.0,14.5982881,121.0342285,344.44,href="https://www.lamudi.com.ph/2-storey-townhouse-bare-3-bedroom-w-2-car-garage-m-168846545886.html"
35000.00,2,2.0,0.0,102.0,14.5939458,121.0389312,343.14,href="https://www.lamudi.com.ph/2br-brandnew-townhouse-for-rent-at-san-juan-city-168552258483.html"
130000.00,3,3.0,0.0,213.3,14.5939458,121.0389312,609.47,href="https://www.lamudi.com.ph/3-bedroom-townhouse-at-san-juan-for-rent-16837824567.html"
47000.00,3,3.0,0.0,140.0,14.6064966,121.031436,335.71,href="https://www.lamudi.com.ph/3-bedroom-townhouse-for-rent-at-corazon-de-jesus-s-168526276946.html"
95000.00,3,3.0,0.0,214.0,14.6036614,121.2861642,443.93,href="https://www.lamudi.com.ph/3-bedroom-townhouse-for-rent-at-dover-hill-san-jua-168813204868.html"
120000.00,3,3.0,0.0,220.0,14.5939458,121.0389312,545.45,href="https://www.lamudi.com.ph/3-bedroom-townhouse-for-rent-at-dover-hill-san-jua-169147532245.html"
28000.00,3,3.0,0.0,120.0,14.567197,121.092265,233.33,href="https://www.lamudi.com.ph/3-bedroom-townhouse-for-rent-at-greenwoods-pasig-c-168379197629.html"
40000.00,3,4.0,0.0,250.0,14.5982881,121.0342285,160.00,href="https://www.lamudi.com.ph/3-bedroom-townhouse-for-rent-at-wilson-san-juan-ci-167958446392.html"
75000.00,3,2.0,0.0,165.0,14.6087952,121.0340764,454.55,href="https://www.lamudi.com.ph/3-bedroom-townhouse-near-wilson-st-in-san-juan-cit-16872402785.html"
45000.00,3,2.0,0.0,150.0,14.6034566,121.0230267,300.00,href="https://www.lamudi.com.ph/3-bedrooms-townhouse-for-rent-at-n-domingo-san-per-167940344229.html"
85000.00,3,3.0,0.0,180.0,14.6011932,121.0468908,472.22,href="https://www.lamudi.com.ph/3-br-townhouse-for-rent-at-greenhills-courtyard-sa-168301438879.html"
16000.00,2,2.0,0.0,98.0,14.6062331,121.049992,163.27,href="https://www.lamudi.com.ph/3-storey-house-for-rent-16k-monthly-168044532114.html"
32000.00,4,3.0,0.0,150.0,14.567197,121.092265,213.33,href="https://www.lamudi.com.ph/3-storey-townhouse-4-bedroom-2-car-garage-at-green-168838838457.html"
90000.00,4,4.0,0.0,250.0,14.6084757,121.0258632,360.00,href="https://www.lamudi.com.ph/3-storey-townhouse-bare-4-bedroom-with-2-parking-s-168898946926.html"
120000.00,4,3.0,0.0,290.0,14.5939458,121.0389312,413.79,href="https://www.lamudi.com.ph/3-storey-townhouse-dover-hill-townhouse-addition-h-167886817911.html"
85000.00,3,3.0,0.0,165.0,14.6011932,121.0468908,515.15,href="https://www.lamudi.com.ph/3-storey-townhouse-for-rent-san-juan-city-near-wil-168863975788.html"
85000.00,3,3.0,0.0,165.0,14.6011932,121.0468908,515.15,href="https://www.lamudi.com.ph/3-storey-townhouse-san-juan-near-wilson-168634932813.html"
107000.00,3,4.5,0.0,213.3,14.5939458,121.0389312,501.64,href="https://www.lamudi.com.ph/3-storey-townhouse-with-basement-3-bedroom-with-3-16863297341.html"
60000.00,4,4.0,0.0,120.0,14.5389517,121.1037612,500.00,href="https://www.lamudi.com.ph/3-storey-with-4br-townhouse-for-lease-at-pasay-cit-168776989412.html"
40000.00,5,3.0,0.0,360.0,14.647586,121.094395,111.11,href="https://www.lamudi.com.ph/360sq-house-for-lease-5br-3-baths-16675371422.html"
130000.00,3,3.0,0.0,213.3,14.5939458,121.0389312,609.47,href="https://www.lamudi.com.ph/3br-at-dover-hill-townhouse-san-juan-fronting-pool-for-lease.html"
120000.00,3,3.0,0.0,242.0,14.6011932,121.0468908,495.87,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-at-san-juan-city-168481389799.html"
70000.00,3,1.0,0.0,280.0,14.567197,121.092265,250.00,href="https://www.lamudi.com.ph/3br-house-for-rent-in-greenwoods-executive-village-168613701794.html"
75000.00,3,2.0,0.0,300.0,14.6011932,121.0468908,250.00,href="https://www.lamudi.com.ph/3br-house-for-rent-in-san-juan-manila-168966178786.html"
93000.00,3,3.5,0.0,200.0,14.6011932,121.0468908,465.00,href="https://www.lamudi.com.ph/3br-house-for-rent-san-juan-city-16761303328.html"
110000.00,3,3.0,0.0,220.6,14.5939458,121.0389312,498.64,href="https://www.lamudi.com.ph/3br-townhouse-for-lease-in-san-juan-city-metro-man-167296600063.html"
70000.00,3,3.0,0.0,190.0,14.6011932,121.0468908,368.42,href="https://www.lamudi.com.ph/3br-townhouse-for-rent-at-eisenhower-greenhills-sa-167937968857.html"
65000.00,3,3.0,0.0,190.0,14.6011932,121.0468908,342.11,href="https://www.lamudi.com.ph/3br-townhouse-for-rent-at-eisenhower-st-greenhills-168793878771.html"
80000.00,3,3.0,0.0,165.0,14.6011932,121.0468908,484.85,href="https://www.lamudi.com.ph/3br-townhouse-for-rent-at-greenhills-courtyard-san-16819747399.html"
110000.00,3,4.0,0.0,106.0,14.6036614,121.2861642,1037.74,href="https://www.lamudi.com.ph/3br-townhouse-for-rent-in-dover-hill-san-juan-rr20-168368500855.html"
60000.00,3,4.0,0.0,210.0,14.59096,121.04207,285.71,href="https://www.lamudi.com.ph/3br-townhouse-for-rent-in-san-juan-near-mandaluyon-168031841095.html"
107000.00,3,4.0,0.0,213.3,14.5939458,121.0389312,501.64,href="https://www.lamudi.com.ph/3storey-with-3br-townhouse-for-rent-in-brgy-additi-168663846162.html"
95000.00,4,3.0,0.0,290.0,14.5939458,121.0389312,327.59,href="https://www.lamudi.com.ph/4-bedroom-corner-unit-w-garden-townhouse-unit-at-dover-hill-in-san-juan.html"
120000.00,4,4.0,0.0,458.0,14.6064966,121.031436,262.01,href="https://www.lamudi.com.ph/4-bedroom-fully-fitted-townhouse-unit-at-clairemont-in-san-juan-city-for-rent.html"
170000.00,4,3.0,0.0,350.0,14.60253,121.03637,485.71,href="https://www.lamudi.com.ph/4-bedroom-house-for-rent-in-san-juan-city-open-for-167871757517.html"
155000.00,4,5.0,0.0,268.0,14.5939458,121.0389312,578.36,href="https://www.lamudi.com.ph/4-bedroom-townhouse-for-rent-in-p-gomez-san-juan-c-168432118068.html"
