Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
8500.00,2,1.0,0.0,47.0,15.661,120.699154,180.85,href="https://www.lamudi.com.ph/2-bedroom-1-bath-townhouse-for-lease-in-san-fernan-168827986342.html"
25000.00,2,2.0,0.0,100.0,15.10712,120.635072,250.00,href="https://www.lamudi.com.ph/2-bedroom-house-and-lot-for-rent-near-sm-telabasta-168697050345.html"
13500.00,2,2.0,0.0,60.0,15.8906,120.660677,225.00,href="https://www.lamudi.com.ph/2-storey-apartment-2-bedroom-2-bathroom-with-modern-updated-style.html"
55000.00,4,3.0,0.0,290.0,15.10712,120.635072,189.66,href="https://www.lamudi.com.ph/2-storey-house-for-rent-in-san-fernando-pampanga.html"
80000.00,3,2.0,0.0,130.0,15.10712,120.635072,615.38,href="https://www.lamudi.com.ph/3-bedroom-bungalow-house-for-rent-in-a-secured-subdivision-san-fernando.html"
60000.00,3,2.0,0.0,130.0,15.10712,120.635072,461.54,href="https://www.lamudi.com.ph/3-bedroom-bungalow-house-for-rent-in-angeles-city-165899756541.html"
40000.00,3,3.0,0.0,180.0,15.10712,120.635072,222.22,href="https://www.lamudi.com.ph/3-bedroom-bungalow-house-for-rent-in-brgy-telabast-168852689510.html"
45000.00,3,3.0,0.0,180.0,15.10712,120.635072,250.00,href="https://www.lamudi.com.ph/3-bedroom-bungalow-house-for-rent-in-brgy-telabast-168860995624.html"
35000.00,3,2.0,0.0,130.0,15.10712,120.635072,269.23,href="https://www.lamudi.com.ph/3-bedroom-bungalow-house-for-rent-in-telabastagan-169018006345.html"
60000.00,3,3.0,0.0,150.0,15.59265,120.673029,400.00,href="https://www.lamudi.com.ph/3-bedroom-bungalow-house-for-rent-in-the-heart-of-san-fernando-pampanga.html"
35000.00,3,3.0,0.0,120.0,15.10712,120.635072,291.67,href="https://www.lamudi.com.ph/3-bedroom-furnished-house-for-rent-in-telabastagan-168921872313.html"
35000.00,3,3.0,0.0,120.0,15.10712,120.635072,291.67,href="https://www.lamudi.com.ph/3-bedroom-furnished-house-for-rent-in-telabastagan-169021484928.html"
60000.00,3,4.0,0.0,120.0,15.10712,120.635072,500.00,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-166156236783.html"
60000.00,3,4.0,0.0,120.0,15.10712,120.635072,500.00,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-166156336521.html"
60000.00,3,2.0,0.0,230.0,15.10712,120.635072,260.87,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-168030412623.html"
60000.00,3,2.0,0.0,230.0,15.10712,120.635072,260.87,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-at-telabastagan-s-168172532356.html"
60000.00,3,2.0,0.0,230.0,15.10712,120.635072,260.87,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-in-168303323996.html"
70000.00,3,4.0,0.0,500.0,15.10712,120.635072,140.00,href="https://www.lamudi.com.ph/3-bedroom-spacious-bungalow-house-for-rent-in-pampanga-70k.html"
55000.00,3,2.0,0.0,125.0,15.10712,120.635072,440.00,href="https://www.lamudi.com.ph/3-bedrooms-bungalow-house-and-lot-for-rent-in-tela-168772062839.html"
50080.00,3,3.0,0.0,300.0,15.10712,120.635072,166.93,href="https://www.lamudi.com.ph/3-bedrooms-bungalow-house-for-rent-in-essel-park-t-166269529916.html"
60000.00,3,2.0,0.0,410.0,15.11205,120.638786,146.34,href="https://www.lamudi.com.ph/3-bedrooms-house-and-lot-for-rent-in-san-fernando-168449342489.html"
40000.00,3,3.0,0.0,120.0,15.10712,120.635072,333.33,href="https://www.lamudi.com.ph/3-bedrooms-house-and-lot-for-rent-in-telabstagan-san-fernando-pampanga.html"
50000.00,3,3.0,0.0,290.0,15.10712,120.635072,172.41,href="https://www.lamudi.com.ph/3-bedrooom-house-for-rent-in-brgy-telabastagan-san-168395598426.html"
75000.00,4,3.0,0.0,290.0,15.10712,120.635072,258.62,href="https://www.lamudi.com.ph/4-bedroom-furnished-house-for-rent-in-telabastagan-san-fernando-city-pampanga.html"
75000.00,4,3.0,0.0,290.0,15.10712,120.635072,258.62,href="https://www.lamudi.com.ph/4-bedroom-furnished-house-for-rent-in-telabastagan-san-fernando-pampanga.html"
