Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
14000.00,1,1.0,0.0,34.0,14.574,121.10977,411.76,href="https://www.lamudi.com.ph/1-bedroom-house-lot-for-rent-in-cainta-rizal.html"
100000.00,10,5.0,0.0,200.0,14.5620998,121.1302512,500.00,href="https://www.lamudi.com.ph/10-rooms-house-and-lot-for-rent-in-taytay-rizal-165993243928.html"
100000.00,10,5.0,0.0,200.0,14.585695,121.133225,500.00,href="https://www.lamudi.com.ph/10-rooms-house-and-lot-for-rent-in-taytay-rizal-166426741217.html"
100000.00,10,5.0,0.0,200.0,14.552296,121.10763,500.00,href="https://www.lamudi.com.ph/10-rooms-house-and-lot-for-rent-in-taytay-rizal-id-166130723440.html"
100000.00,10,5.0,0.0,200.0,14.585695,121.133225,500.00,href="https://www.lamudi.com.ph/10-rooms-house-and-lot-for-sale-in-taytay-rizal-166018712222.html"
45000.00,2,2.0,0.0,80.0,14.576725,121.195159,562.50,href="https://www.lamudi.com.ph/2br-townhouse-for-rent-at-l-sumulong-antipolo-city-168386091226.html"
60000.00,4,4.0,0.0,120.0,14.5389517,121.1037612,500.00,href="https://www.lamudi.com.ph/3-storey-with-4br-townhouse-for-lease-at-pasay-cit-168776989412.html"
70000.00,3,3.0,0.0,250.0,14.574,121.10977,280.00,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-in-greenwoods-executive-168559933019.html"
52000.00,3,2.0,0.0,86.0,14.571435,121.176937,604.65,href="https://www.lamudi.com.ph/3br-house-for-rent-in-mille-luce-subd-brgy-san-roq-169078252931.html"
85000.00,4,4.0,0.0,450.0,14.58843,121.157573,188.89,href="https://www.lamudi.com.ph/4-bedroom-house-for-rent-in-francisville-antipolo-168570010267.html"
60000.00,4,2.0,0.0,240.0,14.552296,121.10763,250.00,href="https://www.lamudi.com.ph/4-bedroom-house-lot-for-lease-in-greenwoods-execut-166330577751.html"
39000.00,4,3.0,0.0,100.0,14.556935,121.193542,390.00,href="https://www.lamudi.com.ph/5-bedrooms-corner-landed-house-for-rent-in-camella-16836026274.html"
90000.00,7,6.0,0.0,440.0,14.549724,121.0977,204.55,href="https://www.lamudi.com.ph/7-bedrooms-modern-house-and-lot-for-rent-in-greenw-168644843076.html"
80000.00,3,3.0,0.0,212.0,14.575845,121.167958,377.36,href="https://www.lamudi.com.ph/a-stunning-brand-new-house-with-pool-and-city-view-168532158588.html"
56000.00,4,3.0,0.0,196.0,14.573461,121.148117,285.71,href="https://www.lamudi.com.ph/brand-new-house-in-manor-ridge-highlands-pointe-ha-168838207931.html"
150000.00,5,5.0,0.0,220.0,14.549724,121.0977,681.82,href="https://www.lamudi.com.ph/for-lease-house-and-lot-greenwoods-executive-villa-166354742638.html"
50000.00,3,3.0,0.0,320.0,14.549724,121.0977,156.25,href="https://www.lamudi.com.ph/for-rent-3-bedrooms-in-pinagbuhatan-pasig-city-168956855470.html"
40000.00,4,5.0,0.0,300.0,14.5841,121.17485,133.33,href="https://www.lamudi.com.ph/for-rent-town-and-country-4-bedroom-house-marcos-h-166298698088.html"
30000.00,3,3.0,0.0,200.0,14.547696,121.155285,150.00,href="https://www.lamudi.com.ph/fully-furnished-3-bedroom-house-and-lot-for-rent-i-168335621296.html"
70000.00,3,3.0,0.0,250.0,14.549724,121.0977,280.00,href="https://www.lamudi.com.ph/greenwoods-executive-village-house-2-storey-3br-3t-168480841876.html"
90000.00,10,5.0,0.0,200.0,14.576725,121.195159,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-antipolo-city-167229211138.html"
90000.00,10,5.0,0.0,200.0,14.552296,121.10763,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-taytay-along-ortigas-ext-167229087933.html"
90000.00,10,5.0,0.0,200.0,14.573461,121.148117,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-taytay-along-ortigas-ext-167357975642.html"
90000.00,10,5.0,0.0,200.0,14.585695,121.133225,450.00,href="https://www.lamudi.com.ph/ideal-for-office-house-and-lot-for-rent-in-antipol-166356167820.html"
100000.00,10,5.0,0.0,200.0,14.585695,121.133225,500.00,href="https://www.lamudi.com.ph/ideal-for-office-house-and-lot-for-sale-in-antipol-166357115572.html"
65000.00,5,3.0,0.0,160.0,14.549724,121.0977,406.25,href="https://www.lamudi.com.ph/one-parking-small-garden-2-storey-fully-furnished-167817566620.html"
65000.00,7,4.0,0.0,400.0,14.549724,121.0977,162.50,href="https://www.lamudi.com.ph/pn53961-house-for-rent-pasig-pinagbuhatan.html"
88000.00,4,3.0,0.0,139.97,14.5389517,121.1037612,628.71,href="https://www.lamudi.com.ph/ra0050-for-rent-4-bedrooms-townhouse-in-edsa-pasay-168983499598.html"
80000.00,5,5.0,0.0,300.0,14.549724,121.0977,266.67,href="https://www.lamudi.com.ph/semi-furnished-3-storey-house-for-rent-in-greenwoo-168282968312.html"
