Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
14000.00,1,1.0,0.0,34.0,14.574,121.10977,411.76,href="https://www.lamudi.com.ph/1-bedroom-house-lot-for-rent-in-cainta-rizal.html"
100000.00,10,5.0,0.0,200.0,14.585695,121.133225,500.00,href="https://www.lamudi.com.ph/10-rooms-house-and-lot-for-rent-in-taytay-rizal-166426741217.html"
100000.00,10,5.0,0.0,200.0,14.585695,121.133225,500.00,href="https://www.lamudi.com.ph/10-rooms-house-and-lot-for-sale-in-taytay-rizal-166018712222.html"
165000.00,10,6.0,0.0,742.0,14.590175,121.1292,222.37,href="https://www.lamudi.com.ph/10br-house-and-lot-for-rent-at-valley-golf-cainta-167695967119.html"
30000.00,2,3.0,0.0,90.0,14.601887,121.093698,333.33,href="https://www.lamudi.com.ph/2-bedroom-townhouse-for-rent-at-somerset-place-pas-168788215948.html"
24000.00,2,2.0,0.0,110.0,14.5876759,121.1176763,218.18,href="https://www.lamudi.com.ph/2-bedroom-townhouse-village-east-boutique-for-rent.html"
20362.00,2,2.0,0.0,110.0,14.583952,121.101245,185.11,href="https://www.lamudi.com.ph/2-bedroom-unit-18-for-rent-w-2-t-b-beside-sm-east-ortigas-pasig-mall.html"
25000.00,3,2.0,0.0,75.0,14.574,121.10977,333.33,href="https://www.lamudi.com.ph/3-2-townhouse-with-carport-cainta-3-bedroom-169050844674.html"
30000.00,3,2.0,0.0,89.0,14.590175,121.1292,337.08,href="https://www.lamudi.com.ph/3-bedroom-3-storey-townhouse-in-cainta-pasig-167487274546.html"
28000.00,3,3.0,0.0,70.0,14.583952,121.101245,400.00,href="https://www.lamudi.com.ph/3-bedrooms-townhouse-in-riverside-exec-village-for-168662664680.html"
70000.00,3,3.0,0.0,250.0,14.574,121.10977,280.00,href="https://www.lamudi.com.ph/3br-house-and-lot-for-rent-in-greenwoods-executive-168559933019.html"
60000.00,3,2.0,0.0,210.0,14.613156,121.118502,285.71,href="https://www.lamudi.com.ph/3br-house-for-rent-in-serra-monte-mansions-cainta-167685762824.html"
100000.00,1,1.0,0.0,408.0,14.574,121.10977,245.10,href="https://www.lamudi.com.ph/408-sqm-house-and-lot-in-greenwoods-executive-vill-167843366969.html"
50000.00,4,3.0,0.0,154.0,14.613156,121.118502,324.68,href="https://www.lamudi.com.ph/4br-townhouse-for-rent-at-pasig-greenpark-village-168733049170.html"
100000.00,4,5.0,0.0,300.0,14.574,121.10977,333.33,href="https://www.lamudi.com.ph/beautiful-home-with-attached-commercial-space-16730032361.html"
130000.00,5,3.0,0.0,450.0,14.574,121.10977,288.89,href="https://www.lamudi.com.ph/beautiful-house-for-rent-in-greenwoods-exe-village-168492340512.html"
35000.00,4,3.0,0.0,170.0,14.583952,121.101245,205.88,href="https://www.lamudi.com.ph/good-sized-four-bedroom-house-in-pasig.html"
78000.00,3,4.0,0.0,367.0,14.613156,121.118502,212.53,href="https://www.lamudi.com.ph/house-and-lot-for-rent-at-vista-verde-executive-vi-168483256130.html"
32000.00,3,2.0,0.0,200.0,14.583952,121.101245,160.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-santa-lucia-pasig-168558357641.html"
25000.00,3,2.0,0.0,80.0,14.613156,121.118502,312.50,href="https://www.lamudi.com.ph/house-for-leaase-at-cainta-green-park-subdivision-168890802137.html"
90000.00,10,5.0,0.0,200.0,14.585695,121.133225,450.00,href="https://www.lamudi.com.ph/ideal-for-office-house-and-lot-for-rent-in-antipol-166356167820.html"
100000.00,10,5.0,0.0,200.0,14.585695,121.133225,500.00,href="https://www.lamudi.com.ph/ideal-for-office-house-and-lot-for-sale-in-antipol-166357115572.html"
50000.00,4,4.0,0.0,190.0,14.610247210839,121.11492823301,263.16,href="https://www.lamudi.com.ph/nice-big-house-with-4-car-garage-4bedrooms-in-a-no-166066249559.html"
45000.00,3,4.0,0.0,136.0,14.588464,121.089097,330.88,href="https://www.lamudi.com.ph/pn51931-townhouse-for-rent-nr-ortigas-pasig-167730972719.html"
55000.00,3,4.0,0.0,136.0,14.588464,121.089097,404.41,href="https://www.lamudi.com.ph/pn51931-townhouse-for-rent-nr-ortigas-pasig-city.html"
80000.00,3,2.0,0.0,188.0,14.613156,121.118502,425.53,href="https://www.lamudi.com.ph/pn54691-beautiful-3br-house-for-rent-in-filinvest-east-cainta.html"
80000.00,3,2.0,0.0,188.0,14.613156,121.118502,425.53,href="https://www.lamudi.com.ph/pn54691-beautiful-house-and-lot-for-rent-filinevst-east-cainta.html"
70000.00,5,3.0,0.0,220.0,14.613156,121.118502,318.18,href="https://www.lamudi.com.ph/property-for-rent-ideal-for-warehousing-commercial-168973088780.html"
50000.00,3,3.0,0.0,423.0,14.613156,121.118502,118.20,href="https://www.lamudi.com.ph/ra0052-for-rent-3-bedroom-house-with-self-standing-169163307177.html"
38000.00,3,3.0,0.0,110.0,14.601887,121.093698,345.45,href="https://www.lamudi.com.ph/your-new-home-in-pasig-somerset-avenue-168362326762.html"
