Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
100000.00,10,5.0,0.0,200.0,14.5620998,121.1302512,500.00,href="https://www.lamudi.com.ph/10-rooms-house-and-lot-for-rent-in-taytay-rizal-165993243928.html"
100000.00,10,5.0,0.0,200.0,14.585695,121.133225,500.00,href="https://www.lamudi.com.ph/10-rooms-house-and-lot-for-rent-in-taytay-rizal-166426741217.html"
100000.00,10,5.0,0.0,200.0,14.585695,121.133225,500.00,href="https://www.lamudi.com.ph/10-rooms-house-and-lot-for-sale-in-taytay-rizal-166018712222.html"
165000.00,10,6.0,0.0,742.0,14.590175,121.1292,222.37,href="https://www.lamudi.com.ph/10br-house-and-lot-for-rent-at-valley-golf-cainta-167695967119.html"
45000.00,2,2.0,0.0,80.0,14.6204,121.19317,562.50,href="https://www.lamudi.com.ph/2-bedroom-duplex-house-type-for-lease-at-dalig-ant-169010734686.html"
45000.00,2,2.0,0.0,80.0,14.576725,121.195159,562.50,href="https://www.lamudi.com.ph/2br-townhouse-for-rent-at-l-sumulong-antipolo-city-168386091226.html"
30000.00,3,2.0,0.0,89.0,14.590175,121.1292,337.08,href="https://www.lamudi.com.ph/3-bedroom-3-storey-townhouse-in-cainta-pasig-167487274546.html"
70000.00,3,4.0,0.0,368.0,14.60035293,121.1820923,190.22,href="https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-rent-at-cottonwood-hei-166908106741.html"
40000.00,3,3.0,0.0,210.0,14.5964,121.19369,190.48,href="https://www.lamudi.com.ph/3-br-house-for-rent-near-la-salle-school-church-ma-168776118763.html"
95000.00,3,2.0,0.0,350.0,14.611857,121.141432,271.43,href="https://www.lamudi.com.ph/3br-golden-meadows-marcos-highway-95k-per-month-on-167111854148.html"
52000.00,3,2.0,0.0,86.0,14.571435,121.176937,604.65,href="https://www.lamudi.com.ph/3br-house-for-rent-in-mille-luce-subd-brgy-san-roq-169078252931.html"
85000.00,4,4.0,0.0,450.0,14.58843,121.157573,188.89,href="https://www.lamudi.com.ph/4-bedroom-house-for-rent-in-francisville-antipolo-168570010267.html"
60000.00,4,4.0,0.0,280.0,14.611857,121.141432,214.29,href="https://www.lamudi.com.ph/4-bedrooms-townhouse-for-rent-in-antipolo-rizal-ne-168424897178.html"
40000.00,4,3.0,0.0,100.0,14.611857,121.141432,400.00,href="https://www.lamudi.com.ph/4br-house-and-lot-for-rent-in-birmingham-place-sub-168540772156.html"
39000.00,4,3.0,0.0,100.0,14.556935,121.193542,390.00,href="https://www.lamudi.com.ph/5-bedrooms-corner-landed-house-for-rent-in-camella-16836026274.html"
80000.00,3,3.0,0.0,212.0,14.575845,121.167958,377.36,href="https://www.lamudi.com.ph/a-stunning-brand-new-house-with-pool-and-city-view-168532158588.html"
56000.00,4,3.0,0.0,196.0,14.573461,121.148117,285.71,href="https://www.lamudi.com.ph/brand-new-house-in-manor-ridge-highlands-pointe-ha-168838207931.html"
55000.00,3,3.0,0.0,350.0,14.594745,121.182157,157.14,href="https://www.lamudi.com.ph/for-rent-3-bedroom-house-in-cottonwoods-heights-antipolo-rizal.html"
100000.00,3,3.0,0.0,500.0,14.595379985224,121.14657207604,200.00,href="https://www.lamudi.com.ph/for-rent-house-and-lot-in-barrington-place-valley-168948626152.html"
40000.00,4,5.0,0.0,300.0,14.5841,121.17485,133.33,href="https://www.lamudi.com.ph/for-rent-town-and-country-4-bedroom-house-marcos-h-166298698088.html"
30000.00,3,3.0,0.0,200.0,14.547696,121.155285,150.00,href="https://www.lamudi.com.ph/fully-furnished-3-bedroom-house-and-lot-for-rent-i-168335621296.html"
90000.00,10,5.0,0.0,200.0,14.576725,121.195159,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-antipolo-city-167229211138.html"
90000.00,10,5.0,0.0,200.0,14.6179598,121.1976151,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-antipolo-city-ideal-for-166839128940.html"
90000.00,10,5.0,0.0,200.0,14.6179598,121.1976151,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-antipolo-city-ideal-for-167418706041.html"
90000.00,10,5.0,0.0,200.0,14.573461,121.148117,450.00,href="https://www.lamudi.com.ph/house-and-lot-for-rent-in-taytay-along-ortigas-ext-167357975642.html"
30000.00,5,3.0,0.0,208.0,14.59242,121.186609,144.23,href="https://www.lamudi.com.ph/house-for-rent-in-cottonwoods-heights-subdivision-168891607172.html"
90000.00,10,5.0,0.0,200.0,14.585695,121.133225,450.00,href="https://www.lamudi.com.ph/ideal-for-office-house-and-lot-for-rent-in-antipol-166356167820.html"
100000.00,10,5.0,0.0,200.0,14.585695,121.133225,500.00,href="https://www.lamudi.com.ph/ideal-for-office-house-and-lot-for-sale-in-antipol-166357115572.html"
45000.00,3,3.0,0.0,170.0,14.608936,121.22529,264.71,href="https://www.lamudi.com.ph/pn51890-house-lot-for-rent-hot-san-juan.html"
50000.00,4,5.0,0.0,190.0,14.6179598,121.1976151,263.16,href="https://www.lamudi.com.ph/rush-for-rent-4-br-townhouse-in-antipolo-city-very-168854648380.html"
